,giorno,ndosi,5c_second_doses_Pfizer,5c_stock_values_Pfizer,5c_second_doses_Moderna,5c_stock_values_Moderna,5c_second_doses_Astrazeneca,5c_stock_values_Astrazeneca,10c_second_doses_Pfizer,10c_stock_values_Pfizer,10c_second_doses_Moderna,10c_stock_values_Moderna,10c_second_doses_Astrazeneca,10c_stock_values_Astrazeneca
78,78,10000285,0.0,14999450.5,10001900.0,5002775.0,0.0,0.0,0.0,14999450.5,10001900.0,5002775.0,0.0,0.0
79,79,0,0.0,14999450.5,5002775.0,0.0,0.0,0.0,0.0,14999450.5,5002775.0,0.0,0.0,0.0
80,80,10002676,0.0,25002126.5,0.0,0.0,0.0,0.0,0.0,25002126.5,0.0,0.0,0.0,0.0
81,81,10000988,0.0,25000841.5,0.0,0.0,0.0,0.0,0.0,25000841.5,0.0,0.0,0.0,0.0
82,82,0,0.0,15001501.5,0.0,0.0,0.0,0.0,0.0,15001501.5,0.0,0.0,0.0,0.0
83,83,0,0.0,15001501.5,0.0,0.0,0.0,0.0,0.0,15001501.5,0.0,0.0,0.0,0.0
84,84,0,0.0,5004298.5,0.0,0.0,0.0,0.0,0.0,5004298.5,0.0,0.0,0.0,0.0
85,85,0,0.0,5004298.5,0.0,0.0,0.0,0.0,0.0,5004298.5,0.0,0.0,0.0,0.0
86,86,0,0.0,5004298.5,0.0,0.0,0.0,0.0,0.0,5004298.5,0.0,0.0,0.0,0.0
87,87,0,0.0,5004298.5,0.0,0.0,0.0,0.0,0.0,5004298.5,0.0,0.0,0.0,0.0
88,88,0,0.0,5004298.5,0.0,0.0,0.0,0.0,0.0,5004298.5,0.0,0.0,0.0,0.0
89,89,0,0.0,5004298.5,0.0,0.0,0.0,0.0,0.0,5004298.5,0.0,0.0,0.0,0.0
90,90,0,0.0,5004298.5,10000846.0,0.0,0.0,0.0,0.0,5004298.5,10000846.0,0.0,0.0,0.0
91,91,0,0.0,5004298.5,0.0,0.0,0.0,0.0,0.0,5004298.5,0.0,0.0,0.0,0.0
92,92,0,0.0,5004298.5,0.0,0.0,0.0,0.0,0.0,5004298.5,0.0,0.0,0.0,0.0
93,93,0,5004298.5,0.0,0.0,0.0,0.0,0.0,5004298.5,0.0,0.0,0.0,0.0,0.0
94,94,9997727,4998370.5,4999356.5,0.0,0.0,0.0,0.0,4998370.5,4999356.5,0.0,0.0,0.0,0.0
95,95,0,0.0,4999356.5,0.0,0.0,0.0,0.0,0.0,4999356.5,0.0,0.0,0.0,0.0
96,96,0,0.0,4999356.5,9998283.0,0.0,0.0,0.0,0.0,4999356.5,9998283.0,0.0,0.0,0.0
