,giorno,ndosi,5c_second_doses_Pfizer,5c_stock_values_Pfizer,5c_second_doses_Moderna,5c_stock_values_Moderna,5c_second_doses_Astrazeneca,5c_stock_values_Astrazeneca,10c_second_doses_Pfizer,10c_stock_values_Pfizer,10c_second_doses_Moderna,10c_stock_values_Moderna,10c_second_doses_Astrazeneca,10c_stock_values_Astrazeneca
1,1,0,0.0,0.0,0.0,0.0,0.0,9998197.0,0.0,0.0,0.0,0.0,0.0,9998197.0
2,2,0,0.0,0.0,0.0,0.0,0.0,9998197.0,0.0,0.0,0.0,0.0,0.0,9998197.0
3,3,10003733,0.0,0.0,0.0,0.0,0.0,9998197.0,0.0,0.0,0.0,0.0,0.0,9998197.0
4,4,0,0.0,0.0,0.0,0.0,0.0,9998197.0,0.0,0.0,0.0,0.0,0.0,9998197.0
5,5,0,0.0,0.0,0.0,0.0,0.0,9998197.0,0.0,0.0,0.0,0.0,0.0,9998197.0
6,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,9996157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,0,0.0,0.0,0.0,9998919.0,0.0,0.0,0.0,0.0,0.0,9998919.0,0.0,0.0
14,14,0,0.0,0.0,0.0,9998919.0,0.0,0.0,0.0,0.0,0.0,9998919.0,0.0,0.0
15,15,0,0.0,0.0,0.0,4996216.5,0.0,0.0,0.0,0.0,0.0,4996216.5,0.0,0.0
16,16,9999743,0.0,4125.0,0.0,4996216.5,0.0,10001616.0,0.0,4125.0,0.0,4996216.5,0.0,10001616.0
17,17,0,0.0,4125.0,0.0,4996216.5,0.0,10001616.0,0.0,4125.0,0.0,4996216.5,0.0,10001616.0
18,18,0,0.0,4125.0,0.0,4996216.5,0.0,10001616.0,0.0,4125.0,0.0,4996216.5,0.0,10001616.0
19,19,0,0.0,4125.0,0.0,14995593.5,0.0,10001616.0,0.0,4125.0,0.0,14995593.5,0.0,10001616.0
20,20,9999608,0.0,10003733.0,0.0,14995593.5,0.0,2168.0,0.0,10003733.0,0.0,14995593.5,0.0,2168.0
