,giorno,ndosi,5c_second_doses_Pfizer,5c_stock_values_Pfizer,5c_second_doses_Moderna,5c_stock_values_Moderna,5c_second_doses_Astrazeneca,5c_stock_values_Astrazeneca,10c_second_doses_Pfizer,10c_stock_values_Pfizer,10c_second_doses_Moderna,10c_stock_values_Moderna,10c_second_doses_Astrazeneca,10c_stock_values_Astrazeneca
1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,10001228,0.0,4998365.0,0.0,0.0,0.0,0.0,0.0,4998365.0,0.0,0.0,0.0,0.0
11,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,15,10004512,0.0,10004512.0,0.0,0.0,0.0,0.0,0.0,10004512.0,0.0,0.0,0.0,0.0
16,16,0,0.0,10004512.0,0.0,0.0,0.0,0.0,0.0,10004512.0,0.0,0.0,0.0,0.0
17,17,0,0.0,10004512.0,0.0,0.0,0.0,0.0,0.0,10004512.0,0.0,0.0,0.0,0.0
18,18,0,0.0,5002933.0,0.0,0.0,0.0,0.0,0.0,5002933.0,0.0,0.0,0.0,0.0
19,19,0,0.0,5002933.0,0.0,0.0,0.0,0.0,0.0,5002933.0,0.0,0.0,0.0,0.0
20,20,0,0.0,5002933.0,0.0,0.0,0.0,0.0,0.0,5002933.0,0.0,0.0,0.0,0.0
21,21,0,0.0,5002933.0,0.0,3316.0,0.0,0.0,0.0,5002933.0,0.0,3316.0,0.0,0.0
22,22,0,0.0,5002933.0,0.0,3316.0,0.0,0.0,0.0,5002933.0,0.0,3316.0,0.0,0.0
23,23,0,0.0,5002863.0,0.0,3316.0,0.0,0.0,0.0,5002863.0,0.0,3316.0,0.0,0.0
24,24,0,0.0,5002863.0,0.0,3316.0,0.0,0.0,0.0,5002863.0,0.0,3316.0,0.0,0.0
25,25,0,0.0,5002863.0,0.0,3316.0,0.0,0.0,0.0,5002863.0,0.0,3316.0,0.0,0.0
26,26,0,0.0,5002863.0,0.0,3316.0,0.0,10002906.0,0.0,5002863.0,0.0,3316.0,0.0,10002906.0
27,27,0,0.0,5002863.0,0.0,3316.0,0.0,7462.0,0.0,5002863.0,0.0,3316.0,0.0,7462.0
28,28,0,0.0,5002863.0,0.0,0.0,0.0,7462.0,0.0,5002863.0,0.0,0.0,0.0,7462.0
29,29,0,0.0,5002863.0,0.0,0.0,0.0,7462.0,0.0,5002863.0,0.0,0.0,0.0,7462.0
30,30,0,0.0,5002863.0,0.0,0.0,0.0,7462.0,0.0,5002863.0,0.0,0.0,0.0,7462.0
31,31,0,5002863.0,0.0,0.0,9996739.0,0.0,7462.0,5002863.0,0.0,0.0,9996739.0,0.0,7462.0
32,32,10001794,4998365.0,5003429.0,0.0,9996739.0,0.0,7462.0,4998365.0,5003429.0,0.0,9996739.0,0.0,7462.0
33,33,0,0.0,5003429.0,0.0,9996739.0,0.0,7462.0,0.0,5003429.0,0.0,9996739.0,0.0,7462.0
34,34,0,0.0,0.0,0.0,0.0,0.0,7462.0,0.0,0.0,0.0,0.0,0.0,7462.0
35,35,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,36,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,37,9999682,0.0,0.0,0.0,9994492.0,0.0,0.0,0.0,0.0,0.0,9994492.0,0.0,0.0
38,38,0,0.0,0.0,9997042.0,9997908.0,0.0,10006150.5,0.0,0.0,9997042.0,9997908.0,0.0,10006150.5
39,39,9997772,5001579.0,0.0,9997908.0,0.0,0.0,10006150.5,5001579.0,0.0,9997908.0,0.0,0.0,10006150.5
40,40,0,0.0,0.0,0.0,0.0,0.0,9997467.0,0.0,0.0,0.0,0.0,0.0,9997467.0
41,41,0,0.0,0.0,0.0,0.0,0.0,9997467.0,0.0,0.0,0.0,0.0,0.0,9997467.0
42,42,0,0.0,0.0,0.0,0.0,0.0,9997467.0,0.0,0.0,0.0,0.0,0.0,9997467.0
43,43,0,0.0,0.0,0.0,0.0,0.0,9997467.0,0.0,0.0,0.0,0.0,0.0,9997467.0
44,44,10000461,70.0,0.0,0.0,0.0,0.0,9997467.0,70.0,0.0,0.0,0.0,0.0,9997467.0
45,45,0,0.0,0.0,0.0,9999726.0,10002620.0,9992086.0,0.0,0.0,0.0,9999726.0,10002620.0,9992086.0
46,46,0,0.0,0.0,10003857.0,9994750.0,0.0,19996522.0,0.0,0.0,10003857.0,9994750.0,0.0,19996522.0
47,47,0,0.0,0.0,0.0,9994750.0,0.0,19996522.0,0.0,0.0,0.0,9994750.0,0.0,19996522.0
48,48,0,0.0,0.0,0.0,9994750.0,0.0,19996522.0,0.0,0.0,0.0,9994750.0,0.0,19996522.0
49,49,0,0.0,0.0,9994750.0,0.0,0.0,19996522.0,0.0,0.0,9994750.0,0.0,0.0,19996522.0
50,50,0,0.0,0.0,0.0,0.0,0.0,19996522.0,0.0,0.0,0.0,0.0,0.0,19996522.0
51,51,0,0.0,0.0,0.0,0.0,0.0,19996522.0,0.0,0.0,0.0,0.0,0.0,19996522.0
52,52,0,0.0,0.0,0.0,0.0,0.0,19996522.0,0.0,0.0,0.0,0.0,0.0,19996522.0
53,53,0,0.0,0.0,0.0,0.0,9995614.0,10000908.0,0.0,0.0,0.0,0.0,9995614.0,10000908.0
54,54,0,0.0,0.0,0.0,0.0,10000908.0,0.0,0.0,0.0,0.0,0.0,10000908.0,0.0
55,55,10000257,5003429.0,4996828.0,0.0,0.0,0.0,0.0,5003429.0,4996828.0,0.0,0.0,0.0,0.0
56,56,9999047,0.0,14995875.0,3316.0,9996893.0,0.0,0.0,0.0,14995875.0,3316.0,9996893.0,0.0,0.0
57,57,0,0.0,14995875.0,0.0,0.0,0.0,0.0,0.0,14995875.0,0.0,0.0,0.0,0.0
58,58,0,9999682.0,4996193.0,0.0,0.0,0.0,0.0,9999682.0,4996193.0,0.0,0.0,0.0,0.0
59,59,0,0.0,4996193.0,0.0,0.0,0.0,0.0,0.0,4996193.0,0.0,0.0,0.0,0.0
60,60,0,4996193.0,0.0,0.0,0.0,0.0,0.0,4996193.0,0.0,0.0,0.0,0.0,0.0
61,61,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,62,0,0.0,0.0,9996739.0,3402.0,0.0,0.0,0.0,0.0,9996739.0,3402.0,0.0,0.0
63,63,10000391,0.0,10000391.0,0.0,3402.0,0.0,0.0,0.0,10000391.0,0.0,3402.0,0.0,0.0
64,64,0,0.0,10000391.0,0.0,3402.0,0.0,0.0,0.0,10000391.0,0.0,3402.0,0.0,0.0
65,65,0,10000391.0,0.0,6161.0,9993252.0,0.0,0.0,10000391.0,0.0,6161.0,9993252.0,0.0,0.0
66,66,0,0.0,0.0,0.0,9993252.0,0.0,0.0,0.0,0.0,0.0,9993252.0,0.0,0.0
67,67,0,0.0,0.0,0.0,9993252.0,9995444.0,0.0,0.0,0.0,0.0,9993252.0,9995444.0,0.0
68,68,0,0.0,0.0,0.0,9993252.0,0.0,0.0,0.0,0.0,0.0,9993252.0,0.0,0.0
69,69,0,0.0,0.0,0.0,9993252.0,0.0,0.0,0.0,0.0,0.0,9993252.0,0.0,0.0
70,70,0,0.0,0.0,0.0,19996160.0,0.0,0.0,0.0,0.0,0.0,19996160.0,0.0,0.0
71,71,0,0.0,0.0,0.0,9998895.0,0.0,0.0,0.0,0.0,0.0,9998895.0,0.0,0.0
72,72,0,0.0,0.0,0.0,9998895.0,0.0,0.0,0.0,0.0,0.0,9998895.0,0.0,0.0
73,73,0,0.0,0.0,0.0,9998895.0,0.0,0.0,0.0,0.0,0.0,9998895.0,0.0,0.0
74,74,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,75,0,0.0,0.0,0.0,0.0,7462.0,1268.5,0.0,0.0,0.0,0.0,7462.0,1268.5
76,76,0,0.0,0.0,0.0,0.0,0.0,1268.5,0.0,0.0,0.0,0.0,0.0,1268.5
77,77,0,0.0,0.0,0.0,0.0,0.0,1268.5,0.0,0.0,0.0,0.0,0.0,1268.5
