,giorno,ndosi,5c_second_doses_Pfizer,5c_stock_values_Pfizer,5c_second_doses_Moderna,5c_stock_values_Moderna,5c_second_doses_Astrazeneca,5c_stock_values_Astrazeneca,10c_second_doses_Pfizer,10c_stock_values_Pfizer,10c_second_doses_Moderna,10c_stock_values_Moderna,10c_second_doses_Astrazeneca,10c_stock_values_Astrazeneca
1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,10006809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,0,0.0,0.0,0.0,10003733.0,0.0,0.0,0.0,0.0,0.0,10003733.0,0.0,0.0
4,4,0,0.0,0.0,0.0,10003733.0,0.0,0.0,0.0,0.0,0.0,10003733.0,0.0,0.0
5,5,0,0.0,0.0,0.0,10003733.0,0.0,0.0,0.0,0.0,0.0,10003733.0,0.0,0.0
6,6,0,0.0,0.0,0.0,10003733.0,0.0,0.0,0.0,0.0,0.0,10003733.0,0.0,0.0
7,7,0,0.0,0.0,0.0,10003733.0,0.0,0.0,0.0,0.0,0.0,10003733.0,0.0,0.0
8,8,0,0.0,0.0,0.0,5446.0,0.0,0.0,0.0,0.0,0.0,5446.0,0.0,0.0
9,9,9996758,0.0,5005839.0,0.0,0.0,0.0,0.0,0.0,5005839.0,0.0,0.0,0.0,0.0
10,10,0,0.0,5005839.0,0.0,0.0,0.0,0.0,0.0,5005839.0,0.0,0.0,0.0,0.0
11,11,0,0.0,5005839.0,0.0,0.0,0.0,0.0,0.0,5005839.0,0.0,0.0,0.0,0.0
12,12,0,0.0,5005839.0,0.0,0.0,0.0,0.0,0.0,5005839.0,0.0,0.0,0.0,0.0
13,13,10001251,0.0,15007090.0,0.0,0.0,0.0,4993450.0,0.0,15007090.0,0.0,0.0,0.0,4993450.0
14,14,0,0.0,15007090.0,0.0,0.0,0.0,4993450.0,0.0,15007090.0,0.0,0.0,0.0,4993450.0
15,15,0,0.0,15007090.0,0.0,0.0,0.0,4993450.0,0.0,15007090.0,0.0,0.0,0.0,4993450.0
16,16,0,0.0,15007090.0,0.0,0.0,0.0,4993450.0,0.0,15007090.0,0.0,0.0,0.0,4993450.0
17,17,0,0.0,15007090.0,0.0,0.0,0.0,4993450.0,0.0,15007090.0,0.0,0.0,0.0,4993450.0
18,18,0,0.0,15007090.0,0.0,0.0,0.0,4993450.0,0.0,15007090.0,0.0,0.0,0.0,4993450.0
19,19,0,0.0,15007090.0,0.0,0.0,0.0,14992827.0,0.0,15007090.0,0.0,0.0,0.0,14992827.0
20,20,0,0.0,14998372.0,0.0,9999608.0,0.0,14992827.0,0.0,14998372.0,0.0,9999608.0,0.0,14992827.0
21,21,0,0.0,14998372.0,0.0,874.0,0.0,14992827.0,0.0,14998372.0,0.0,874.0,0.0,14992827.0
22,22,0,0.0,14997728.0,0.0,874.0,0.0,14992827.0,0.0,14997728.0,0.0,874.0,0.0,14992827.0
23,23,0,10006809.0,4990919.0,0.0,874.0,0.0,14997957.0,10006809.0,4990919.0,0.0,874.0,0.0,14997957.0
24,24,0,0.0,4990919.0,0.0,874.0,0.0,14997957.0,0.0,4990919.0,0.0,874.0,0.0,14997957.0
25,25,0,0.0,4990919.0,0.0,874.0,0.0,4993163.0,0.0,4990919.0,0.0,874.0,0.0,4993163.0
26,26,0,0.0,4990919.0,0.0,874.0,0.0,4993163.0,0.0,4990919.0,0.0,874.0,0.0,4993163.0
27,27,0,0.0,4990919.0,0.0,874.0,0.0,4993163.0,0.0,4990919.0,0.0,874.0,0.0,4993163.0
28,28,0,0.0,4990919.0,0.0,0.0,0.0,4993163.0,0.0,4990919.0,0.0,0.0,0.0,4993163.0
29,29,0,0.0,4990919.0,0.0,0.0,0.0,4993163.0,0.0,4990919.0,0.0,0.0,0.0,4993163.0
30,30,0,4990919.0,0.0,0.0,0.0,0.0,4993163.0,4990919.0,0.0,0.0,0.0,0.0,4993163.0
31,31,0,0.0,0.0,0.0,0.0,0.0,4993163.0,0.0,0.0,0.0,0.0,0.0,4993163.0
32,32,0,0.0,0.0,0.0,0.0,0.0,4993163.0,0.0,0.0,0.0,0.0,0.0,4993163.0
33,33,0,0.0,0.0,0.0,0.0,0.0,4993163.0,0.0,0.0,0.0,0.0,0.0,4993163.0
34,34,0,0.0,0.0,0.0,0.0,0.0,14996023.0,0.0,0.0,0.0,0.0,0.0,14996023.0
35,35,0,0.0,0.0,0.0,0.0,0.0,14996023.0,0.0,0.0,0.0,0.0,0.0,14996023.0
36,36,0,0.0,0.0,9998287.0,0.0,0.0,14996023.0,0.0,0.0,9998287.0,0.0,0.0,14996023.0
37,37,0,0.0,0.0,5446.0,9996157.0,0.0,14996023.0,0.0,0.0,5446.0,9996157.0,0.0,14996023.0
