,instance,arrival_pfizer,arrival_moderna,arrival_astrazeneca,first_doses_Pfizer,second_doses_Pfizer,stock_values_Pfizer,first_doses_Moderna,second_doses_Moderna,stock_values_Moderna,first_doses_Astrazeneca,second_doses_Astrazeneca,stock_values_Astrazeneca,capacity
0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6989002
1,2,0,10006967,0,0.0,0.0,0.0,6989002.0,0.0,3017965.0,0.0,0.0,0.0,6989002
2,3,0,0,10001223,0.0,0.0,0.0,0.0,0.0,3017965.0,6989002.0,0.0,3012221.0,6989002
3,4,10000289,0,0,3979107.0,0.0,6021182.0,0.0,0.0,3017965.0,0.0,0.0,3012221.0,6989002
4,5,0,0,0,6021182.0,0.0,0.0,0.0,0.0,3017965.0,0.0,0.0,3012221.0,6989002
5,6,0,0,0,0.0,0.0,0.0,3017965.0,0.0,0.0,3012221.0,0.0,0.0,6989002
6,7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6989002
7,8,10001918,0,0,6989002.0,0.0,3012916.0,0.0,0.0,0.0,0.0,0.0,0.0,6989002
8,9,0,10003593,0,0.0,0.0,3012916.0,6989002.0,0.0,3014591.0,0.0,0.0,0.0,6989002
9,10,0,0,9995536,964391.0,0.0,2048525.0,0.0,0.0,3014591.0,2949361.0,0.0,7046175.0,6989002
10,11,0,0,0,0.0,0.0,2048525.0,0.0,0.0,3014591.0,0.0,0.0,7046175.0,6989002
11,12,0,0,0,0.0,0.0,2048525.0,0.0,0.0,3014591.0,2050148.0,0.0,4996027.0,6989002
12,13,0,0,0,2047838.0,0.0,687.0,0.0,0.0,3014591.0,0.0,0.0,4996027.0,6989002
13,14,0,0,0,0.0,0.0,687.0,0.0,0.0,3014591.0,0.0,0.0,4996027.0,6989002
14,15,10002169,0,0,0.0,0.0,10002856.0,0.0,0.0,3014591.0,0.0,0.0,4996027.0,6989002
15,16,0,0,0,0.0,0.0,10002856.0,0.0,0.0,3014591.0,0.0,0.0,4996027.0,6989002
16,17,9998664,0,0,0.0,0.0,20001520.0,0.0,0.0,3014591.0,0.0,0.0,4996027.0,6989002
17,18,0,0,0,0.0,0.0,20001520.0,0.0,0.0,3014591.0,0.0,0.0,4996027.0,6989002
18,19,0,0,0,0.0,0.0,20001520.0,0.0,0.0,3014591.0,0.0,0.0,4996027.0,6989002
19,20,0,9997045,0,0.0,0.0,20001520.0,0.0,0.0,13011636.0,0.0,0.0,4996027.0,6989002
20,21,0,0,0,0.0,0.0,20001520.0,0.0,0.0,13011636.0,0.0,0.0,4996027.0,6989002
21,22,0,0,0,0.0,0.0,20001520.0,0.0,0.0,13011636.0,0.0,0.0,4996027.0,6989002
22,23,0,0,10000840,0.0,0.0,20001520.0,0.0,0.0,13011636.0,0.0,0.0,14996867.0,6989002
23,24,0,0,9996379,0.0,0.0,20001520.0,3012668.0,0.0,9998968.0,0.0,0.0,24993246.0,6989002
24,25,0,10006896,0,0.0,3979107.0,16022413.0,3009895.0,0.0,16995969.0,0.0,0.0,24993246.0,6989002
25,26,0,0,0,0.0,6021182.0,10001231.0,0.0,0.0,16995969.0,0.0,0.0,24993246.0,6989002
26,27,0,0,10001902,0.0,0.0,10001231.0,0.0,0.0,16995969.0,0.0,0.0,34995148.0,6989002
27,28,0,0,0,0.0,0.0,10001231.0,0.0,0.0,16995969.0,0.0,0.0,34995148.0,6989002
28,29,0,0,0,0.0,6989002.0,3012229.0,0.0,0.0,16995969.0,0.0,0.0,34995148.0,6989002
29,30,0,0,0,0.0,0.0,3012229.0,0.0,6989002.0,10006967.0,0.0,0.0,34995148.0,6989002
30,31,0,0,0,0.0,964391.0,2047838.0,0.0,0.0,10006967.0,6024611.0,0.0,28970537.0,6989002
31,32,0,0,0,0.0,0.0,2047838.0,0.0,0.0,10006967.0,6989002.0,0.0,21981535.0,6989002
32,33,0,0,0,0.0,0.0,2047838.0,0.0,0.0,10006967.0,6989002.0,0.0,14992533.0,6989002
33,34,0,0,0,0.0,2047838.0,0.0,0.0,3017965.0,6989002.0,0.0,0.0,14992533.0,6989002
