,instance,arrival_pfizer,arrival_moderna,arrival_astrazeneca,first_doses_Pfizer,second_doses_Pfizer,stock_values_Pfizer,first_doses_Moderna,second_doses_Moderna,stock_values_Moderna,first_doses_Astrazeneca,second_doses_Astrazeneca,stock_values_Astrazeneca,capacity
0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18577438
1,2,0,10001562,0,0.0,0.0,0.0,5004872.0,0.0,4996690.0,0.0,0.0,0.0,18577438
2,3,9995886,0,9999369,8578069.0,0.0,1417817.0,0.0,0.0,4996690.0,9999369.0,0.0,0.0,18577438
3,4,10002122,0,0,1418179.0,0.0,10001760.0,4996690.0,0.0,0.0,0.0,0.0,0.0,18577438
4,5,0,10001095,10006567,0.0,0.0,10001760.0,10001095.0,0.0,0.0,8576343.0,0.0,1430224.0,18577438
5,6,0,0,0,0.0,0.0,10001760.0,0.0,0.0,0.0,1430224.0,0.0,0.0,18577438
6,7,10000001,0,0,8574137.0,0.0,11427624.0,0.0,0.0,0.0,0.0,0.0,0.0,18577438
7,8,0,10004832,0,11427624.0,0.0,0.0,4993061.0,0.0,5011771.0,0.0,0.0,0.0,18577438
8,9,0,0,0,0.0,0.0,0.0,0.0,0.0,5011771.0,0.0,0.0,0.0,18577438
9,10,9996248,0,0,0.0,0.0,9996248.0,6899.0,0.0,5004872.0,0.0,0.0,0.0,18577438
10,11,0,0,0,0.0,0.0,9996248.0,0.0,0.0,5004872.0,0.0,0.0,0.0,18577438
11,12,0,0,0,0.0,0.0,9996248.0,0.0,0.0,5004872.0,0.0,0.0,0.0,18577438
12,13,0,0,0,0.0,0.0,9996248.0,0.0,0.0,5004872.0,0.0,0.0,0.0,18577438
13,14,0,0,0,0.0,0.0,9996248.0,0.0,0.0,5004872.0,0.0,0.0,0.0,18577438
14,15,0,0,9994615,0.0,0.0,9996248.0,0.0,0.0,5004872.0,9994615.0,0.0,0.0,18577438
15,16,0,0,0,0.0,0.0,9996248.0,0.0,0.0,5004872.0,0.0,0.0,0.0,18577438
16,17,0,0,0,0.0,0.0,9996248.0,0.0,0.0,5004872.0,0.0,0.0,0.0,18577438
17,18,0,0,0,0.0,0.0,9996248.0,0.0,0.0,5004872.0,0.0,0.0,0.0,18577438
18,19,0,0,0,0.0,0.0,9996248.0,0.0,0.0,5004872.0,0.0,0.0,0.0,18577438
19,20,0,0,10000557,0.0,0.0,9996248.0,0.0,0.0,5004872.0,9988923.0,0.0,11634.0,18577438
20,21,0,0,0,0.0,0.0,9996248.0,0.0,0.0,5004872.0,0.0,0.0,11634.0,18577438
21,22,0,0,0,0.0,0.0,9996248.0,0.0,0.0,5004872.0,0.0,0.0,11634.0,18577438
22,23,0,0,0,0.0,0.0,9996248.0,0.0,0.0,5004872.0,0.0,0.0,11634.0,18577438
23,24,0,0,0,0.0,8578069.0,1418179.0,0.0,0.0,5004872.0,0.0,0.0,11634.0,18577438
24,25,0,0,0,0.0,1418179.0,0.0,0.0,0.0,5004872.0,0.0,0.0,11634.0,18577438
25,26,0,0,0,0.0,0.0,0.0,0.0,0.0,5004872.0,0.0,0.0,11634.0,18577438
26,27,0,0,10001814,0.0,0.0,0.0,0.0,0.0,5004872.0,0.0,0.0,10013448.0,18577438
27,28,9997971,0,0,0.0,8574137.0,1423834.0,0.0,0.0,5004872.0,10003301.0,0.0,10147.0,18577438
28,29,10004485,0,0,695.0,11427624.0,0.0,0.0,0.0,5004872.0,0.0,0.0,10147.0,18577438
29,30,0,0,0,0.0,0.0,0.0,0.0,5004872.0,0.0,10147.0,0.0,0.0,18577438
30,31,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18577438
31,32,0,10001321,0,0.0,0.0,0.0,0.0,4996690.0,5004631.0,0.0,0.0,0.0,18577438
32,33,0,9989525,0,0.0,0.0,0.0,0.0,10001095.0,4993061.0,0.0,0.0,0.0,18577438
33,34,0,0,0,0.0,0.0,0.0,0.0,0.0,4993061.0,0.0,0.0,0.0,18577438
34,35,0,0,0,0.0,0.0,0.0,0.0,0.0,4993061.0,0.0,0.0,0.0,18577438
35,36,0,0,9999639,0.0,0.0,0.0,0.0,4993061.0,0.0,9999639.0,0.0,0.0,18577438
36,37,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18577438
37,38,0,10001950,0,0.0,0.0,0.0,0.0,6899.0,9995051.0,0.0,0.0,0.0,18577438
38,39,0,0,10000787,0.0,0.0,0.0,0.0,0.0,9995051.0,9985068.0,0.0,15719.0,18577438
39,40,0,0,0,0.0,0.0,0.0,9995051.0,0.0,0.0,0.0,0.0,15719.0,18577438
40,41,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15719.0,18577438
41,42,0,0,10000828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10016547.0,18577438
42,43,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10016547.0,18577438
43,44,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10016547.0,18577438
44,45,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10016547.0,18577438
45,46,0,9998323,0,0.0,0.0,0.0,9998323.0,0.0,0.0,0.0,0.0,10016547.0,18577438
46,47,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,9999409.0,0.0,17138.0,18577438
47,48,0,0,9997323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10014461.0,18577438
48,49,10003564,0,0,8571939.0,0.0,1431625.0,0.0,0.0,0.0,0.0,0.0,10014461.0,18577438
49,50,0,0,0,1430930.0,695.0,0.0,0.0,0.0,0.0,10000050.0,0.0,14411.0,18577438
50,51,0,0,10003290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10017701.0,18577438
51,52,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10017701.0,18577438
52,53,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10017701.0,18577438
53,54,0,0,9997352,0.0,0.0,0.0,0.0,0.0,0.0,10001252.0,0.0,10013801.0,18577438
54,55,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10013801.0,18577438
55,56,0,0,9995070,0.0,0.0,0.0,0.0,0.0,0.0,10002372.0,0.0,10006499.0,18577438
56,57,0,9999543,0,0.0,0.0,0.0,9999543.0,0.0,0.0,0.0,0.0,10006499.0,18577438
57,58,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10006499.0,18577438
58,59,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10006499.0,18577438
59,60,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10006499.0,18577438
60,61,9997446,0,0,0.0,0.0,9997446.0,0.0,0.0,0.0,0.0,0.0,10006499.0,18577438
61,62,0,9999862,9997725,0.0,0.0,9997446.0,9999862.0,0.0,0.0,0.0,0.0,20004224.0,18577438
62,63,0,0,0,0.0,0.0,9997446.0,0.0,0.0,0.0,0.0,0.0,20004224.0,18577438
63,64,0,0,0,3758.0,0.0,9993688.0,0.0,0.0,0.0,0.0,0.0,20004224.0,18577438
