instance,c_optimal_value,1.1c_optimal_value,1.2c_optimal_value,1.3c_optimal_value,1.4c_optimal_value,1.5c_optimal_value,1.6c_optimal_value,1.7c_optimal_value,1.8c_optimal_value,1.9c_optimal_value,2c_optimal_value,"28,75%","12,28%","6,52%","4,97%","2,90%","2,15%","1,66%","1,29%","1,00%","0,90%"
,"554042354,072222","377469165,6","276262580,372222","260218515,805556","256458687,105556","255594098,472222","254897075,483333","254410235,644444","254099075,05","253865581,755556","253656923,488889","46,78%","36,63%","6,17%","1,47%","0,34%","0,27%","0,19%","0,12%","0,09%","0,08%"
,"688566868,661111","653936883,288889","635950867,344444","630762733,45","630071202,966667","629640724,655556","629277050,461111","628980290,261111","628766287,161111","628578513,561111","628396337,627778","5,30%","2,83%","0,82%","0,11%","0,07%","0,06%","0,05%","0,03%","0,03%","0,03%"
,"671123442,027778","472686722,283333","438455947,416667","426054155,077778",414000282,"402285430,244444","390713175,583333","379178918,022222","367756045,855556","356543520,555556","345343839,138889","41,98%","7,81%","2,91%","2,91%","2,91%","2,96%","3,04%","3,11%","3,14%","3,24%"
,"497870277,094444","433371591,716666","422282761,494444","411897275,005556","401661963,083333","391668007,261111","381768455,083333","371922884,161111","362147596,105556","352410049,933333","342698646,911111","14,88%","2,63%","2,52%","2,55%","2,55%","2,59%","2,65%","2,70%","2,76%","2,83%"
,"552449871,605556","502691480,877778","456942882,372222","413915747,061111","371500262,505556","329905086,555556","288613996,616667","281005068,688889","276108282,266667","271258551,127778","266526411,111111","9,90%","10,01%","10,40%","11,42%","12,61%","14,31%","2,71%","1,77%","1,79%","1,78%"
,"370331624,266667","279752194,7","276299857,172222","275243564,788889","274473428,994444","273887792,316667","273441923,394444",273088489,"272788669,016667","272558592,488889","272368709,65","32,38%","1,25%","0,38%","0,28%","0,21%","0,16%","0,13%","0,11%","0,08%","0,07%"
,"351952965,45","271205163,583333","268873715,722222","267310211,883333","266439229,4","266034230,822222","265758625,15","265523059,85","265334998,605556","265147626,733333","264979222,966667","29,77%","0,87%","0,58%","0,33%","0,15%","0,10%","0,09%","0,07%","0,07%","0,06%"
,"351660054,372222","278683913,733333","275526926,733333","274184264,75","273268908,038889","272786535,661111","272411776,544444","272072408,361111","271806649,772222","271578165,733333","271405795,366667","26,19%","1,15%","0,49%","0,33%","0,18%","0,14%","0,12%","0,10%","0,08%","0,06%"
,"448777966,111111","309097093,755556","301371441,511111","300116650,372222","299413953,905556","298942169,727778","298525624,155556","298177793,294444","297867909,327778","297606679,927778","297498498,705556","45,19%","2,56%","0,42%","0,23%","0,16%","0,14%","0,12%","0,10%","0,09%","0,04%"
,"547279838,083333","445603095,85","404264900,705556","393440546,966667",392835097,"392369978,355556","392047566,311111","391764161,5","391514265,488889","391292151,511111","391092580,038889","22,82%","10,23%","2,75%","0,15%","0,12%","0,08%","0,07%","0,06%","0,06%","0,05%"
,"731908755,872222","579448302,888889","456216833,622222","370328311,538889","341312956,105556","340460191,111111","340030404,822222","339688243,883333","339358250,4","339208437,65","339098429,116667","26,31%","27,01%","23,19%","8,50%","0,25%","0,13%","0,10%","0,10%","0,04%","0,03%"
,"724288944,866667","565776393,055556","460252345,161111","407719776,088889","385126428,455556","377461580,344444","370125361,888889","363041210,65","355971527,344444","348916893,961111","341873313,505556","28,02%","22,93%","12,88%","5,87%","2,03%","1,98%","1,95%","1,99%","2,02%","2,06%"
,"550804954,244444","389785042,105556","362631149,233333","351992766,683333","341797241,861111","331937448,172222","322264135,938889","312676796,716667","303219629,361111","293846533,238889","284527308,733333","41,31%","7,49%","3,02%","2,98%","2,97%","3,00%","3,07%","3,12%","3,19%","3,28%"
,"324025768,416667","283993109,816667","273951499,822222","266071104,4","261286379,777778","256687680,633333","252287928,377778","248017556,461111","243849889,372222","239708947,35","235600166,433333","14,10%","3,67%","2,96%","1,83%","1,79%","1,74%","1,72%","1,71%","1,73%","1,74%"
,"496288440,961111","259759946,477778","254647194,244444","253237791,744444","252270494,944444","251410149,288889","250723245,105556","250219452,683333","249921996,894444","249718279,333333","249528050,05","91,06%","2,01%","0,56%","0,38%","0,34%","0,27%","0,20%","0,12%","0,08%","0,08%"
,"439682509,827778","276908981,9","274265091,611111","272859458,261111","271841320,083333","271025105,95","270401337,677778","269893973,266667","269473703,227778","269114206,911111","268762491,35","58,78%","0,96%","0,52%","0,37%","0,30%","0,23%","0,19%","0,16%","0,13%","0,13%"
,"439951984,933333","281310704,99444","277297271,105556","275151533,138889","273556924,716667","272254235,638889","271231891,844444","270709386,566667","270437138,272222","270178794,938889","269948333,288889","56,39%","1,45%","0,78%","0,58%","0,48%","0,38%","0,19%","0,10%","0,10%","0,09%"
,"460747050,75","316012816,7","298551080,35","283489035,594444","269219676,266667","266759234,694444","265993687,755556","265390031,127778","264903489,261111","264601736,938889","264328890,561111","45,80%","5,85%","5,31%","5,30%","0,92%","0,29%","0,23%","0,18%","0,11%","0,10%"
,"424333108,333333","292943487,6","283408783,522222","275705046,166667","268368923,7","264826945,933333","264457962,894444","264176759,161111","263938495,533333","263743385,905556","263564461,655556","44,85%","3,36%","2,79%","2,73%","1,34%","0,14%","0,11%","0,09%","0,07%","0,07%"
,"487331294,577778","403402803,911111","394326407,855556","385949328,372222","377932349,566667","370102413,677778","362486597,505556","355085167,066667","347754611,638889","340486450,283333","333246848,85","20,81%","2,30%","2,17%","2,12%","2,12%","2,10%","2,08%","2,11%","2,13%","2,17%"
