instance,c_optimal_value,2c_optimal_value,3c_optimal_value,4c_optimal_value,5c_optimal_value,6c_optimal_value,7c_optimal_value,8c_optimal_value,9c_optimal_value,10c_optimal_value,2c vs c,3c vs 2c,4c vs 3c,5c vs 4c,6c vs 5c,7c vs 6c,8c vs 7c,9c vs 8c,10c vs 9c ,,Valori medi,
244,53156765553,49019272635,48869651910,48845329429,48834677769,48834677772,48834677772,48834677755,48834677784,48834677817,"8,44%","0,31%","0,05%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
245,89161420594,48646301465,48517650270,48481633037,48463654984,48458676146,48458676214,48458676194,48458676224,48458676224,"83,29%","0,27%","0,07%","0,04%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
246,138565944632,55055761823,54758235539,54726903091,54719782274,54714893394,54714229566,54714229552,54714229549,54714229549,"151,68%","0,54%","0,06%","0,01%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
247,148441655818,65772191873,57502530660,57432598302,57432598302,57432598334,57432598334,57432598334,57432598334,57432598297,"125,69%","14,38%","0,12%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
248,126137412699,54573002543,54413564801,54370080583,54370080583,54370080583,54370080583,54370080583,54370080583,54370080583,"131,14%","0,29%","0,08%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
249,95557525595,50964437730,50852599019,50809751615,50800905602,50800063006,50800062960,50800062960,50800062976,50800062976,"87,50%","0,22%","0,08%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
250,77798886215,48012786815,47876081666,47841088729,47827968493,47825734474,47825734515,47825734477,47825734478,47825734481,"62,04%","0,29%","0,07%","0,03%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
251,105683735001,48476529012,48254049925,48211554470,48197066723,48192564996,48189569198,48189569198,48189569188,48189569188,"118,01%","0,46%","0,09%","0,03%","0,01%","0,01%","0,00%","0,00%","0,00%",,,
252,98812647823,51521205070,50361041443,50309101725,50300220919,50300220919,50300220919,50300220919,50300220919,50300220919,"91,79%","2,30%","0,10%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
253,114067586936,108149773227,108090558250,108066550920,108066550920,108066550920,108066550920,108066550920,108066550920,108066550920,"5,47%","0,05%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
254,86890209258,58083828941,53677328347,49343159228,48745054502,48745054502,48745054429,48745054429,48745054459,48745052611,"49,59%","8,21%","8,78%","1,23%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
255,79896973433,46531625404,45394714311,45343895559,45323913092,45323913051,45323913045,45323913058,45323913145,45323911168,"71,70%","2,50%","0,11%","0,04%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
256,85978920730,80107739664,78333222895,78302449466,78288224929,78288224929,78288224972,78288224950,78288224921,78288224934,"7,33%","2,27%","0,04%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
257,89549201866,48526452727,44826018289,44757698486,44731024419,44731024412,44731024377,44731024380,44731026275,44731024477,"84,54%","8,26%","0,15%","0,06%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
258,108500498410,51406549305,49618948811,49548111949,49530927711,49521483612,49518167771,49518167766,49518167792,49518167817,"111,06%","3,60%","0,14%","0,03%","0,02%","0,01%","0,00%","0,00%","0,00%",,,
259,99922999744,49771491191,49222160410,49166593720,49153270513,49143493326,49142158944,49142158918,49142158923,49142158931,"100,76%","1,12%","0,11%","0,03%","0,02%","0,00%","0,00%","0,00%","0,00%",,,
260,90943702934,47589783181,46221580608,46180243722,46173558826,46173558826,46173558814,46173558825,46173558833,46173558842,"91,10%","2,96%","0,09%","0,01%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
261,77925987867,44416823289,41053024327,41008891312,40992058944,40985892384,40985415341,40985415341,40985415341,40985413467,"75,44%","8,19%","0,11%","0,04%","0,02%","0,00%","0,00%","0,00%","0,00%",,,
262,84816421835,46604990538,42937204609,42895204442,42865218334,42861205060,42857205096,42855204203,42855204203,42855204264,"81,99%","8,54%","0,10%","0,07%","0,01%","0,01%","0,00%","0,00%","0,00%",,,
263,62977628861,44187291264,42684149741,42647491576,42628831740,42628831740,42628831677,42628831780,42628831734,42628831736,"42,52%","3,52%","0,09%","0,04%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
264,77325066276,43336672450,41762591640,41710247326,41691513909,41687236292,41682958719,41682897114,41682897074,41682897051,"78,43%","3,77%","0,13%","0,04%","0,01%","0,01%","0,00%","0,00%","0,00%",,,
265,50992271208,35597486634,35461421987,35439192407,35431636783,35429409548,35429409548,35429409602,35429409602,35429409602,"43,25%","0,38%","0,06%","0,02%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
266,82626038293,60500155635,60314183097,60284219575,60260260850,60260254999,60260254999,60260254999,60260254999,60260254999,"36,57%","0,31%","0,05%","0,04%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
267,145112309824,93533116327,93432687406,93400425146,93385972235,93385972216,93385972279,93385972245,93385972270,93385972293,"55,15%","0,11%","0,03%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
268,148967463357,51689170316,49963768450,49922547492,49910082663,49910082574,49910082553,49910082622,49910082566,49910082566,"188,20%","3,45%","0,08%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
269,107153714180,51200451982,43948265380,42671445977,42651723243,42650336791,42650336814,42650336801,42650336801,42650336801,"109,28%","16,50%","2,99%","0,05%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
270,103491504749,46482012712,45695282533,45628531864,45599537822,45595426529,45591315342,45590086978,45590086978,45590087029,"122,65%","1,72%","0,15%","0,06%","0,01%","0,01%","0,00%","0,00%","0,00%",,,
271,91994554781,38742664103,38537912068,38490978097,38471089543,38462426779,38458760045,38455093400,38454439170,38454439170,"137,45%","0,53%","0,12%","0,05%","0,02%","0,01%","0,01%","0,00%","0,00%",,,
272,121349471328,62370367912,62226507816,62208674634,62197348610,62197348656,62197348659,62197348650,62197348625,62197348698,"94,56%","0,23%","0,03%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
273,87093386829,51601713267,51353359134,51255233667,51203962579,51184963646,51178972024,51178970115,51178972023,51178970178,"68,78%","0,48%","0,19%","0,10%","0,04%","0,01%","0,00%","0,00%","0,00%",,,
274,121675545599,46227512122,43936882721,43885043884,43858211861,43852389046,43852390869,43852389009,43852390844,43852389024,"163,21%","5,21%","0,12%","0,06%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
275,120233841335,47098247978,45158102553,45127113068,45115116031,45115111727,45115111743,45115111753,45115111753,45115111753,"155,28%","4,30%","0,07%","0,03%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
276,129103602063,96159182032,95129918213,95095421185,95081431176,95081431129,95081431203,95081429336,95081429304,95081431168,"34,26%","1,08%","0,04%","0,01%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
277,113073032518,46389991734,46235043102,46205042090,46184209206,46180042435,46175875698,46175059629,46175059635,46175059646,"143,74%","0,34%","0,06%","0,05%","0,01%","0,01%","0,00%","0,00%","0,00%",,,
278,127095227986,63838584468,62709818759,62664835930,62629833238,62624855910,62624855910,62624855837,62624855837,62624855837,"99,09%","1,80%","0,07%","0,06%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
279,106315950646,44576877534,44290000669,44242005246,44220006423,44211993527,44203993388,44199997097,44199997097,44199995160,"138,50%","0,65%","0,11%","0,05%","0,02%","0,02%","0,01%","0,00%","0,00%",,,
280,106945033225,44320388680,44151395167,44102541304,44076101529,44076101529,44076101529,44076101529,44076099669,44076099696,"141,30%","0,38%","0,11%","0,06%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
281,92420441702,44129100581,43906626435,43850836200,43823329903,43819163299,43814996796,43814168576,43814168632,43814168637,"109,43%","0,51%","0,13%","0,06%","0,01%","0,01%","0,00%","0,00%","0,00%",,,
282,109450264049,47062725528,46899494795,46838737677,46816432698,46811877245,46809212996,46809212949,46809212966,46809212956,"132,56%","0,35%","0,13%","0,05%","0,01%","0,01%","0,00%","0,00%","0,00%",,,
283,80008924755,47508425051,47364215491,47308929028,47293078793,47288356468,47286688118,47286688072,47286688074,47286688114,"68,41%","0,30%","0,12%","0,03%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
284,144990507342,128613627352,128506429475,128449774484,128449774484,128449774484,128449774484,128449774484,128449774484,128449774484,"12,73%","0,08%","0,04%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
285,"117438004834,999",50176235039,50059419265,50027319207,50019871084,50018767661,50018769513,50018769513,50018769500,50018769500,"134,05%","0,23%","0,06%","0,01%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
286,138006368371,51393996857,51278127396,51240099823,51232321004,51232321004,51232322878,51232321004,51232322868,51232321069,"168,53%","0,23%","0,07%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
287,90480372165,43649979789,43429707951,43372133894,43353134107,43344689433,43336244784,43335360692,43335360755,43335360701,"107,29%","0,51%","0,13%","0,04%","0,02%","0,02%","0,00%","0,00%","0,00%",,,
288,86960279514,42550735820,42280820068,42229159026,42195854058,42195854055,42195854055,42195854124,42195854035,42195854049,"104,37%","0,64%","0,12%","0,08%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
289,103177213563,62767349512,62638175565,62597337776,62570673223,62570673175,62570673223,62570673184,62570673205,62570673174,"64,38%","0,21%","0,07%","0,04%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
290,160619197382,130308807548,130215500960,130198833409,130185501385,130185501385,130185501325,130185501345,130185501339,130185501302,"23,26%","0,07%","0,01%","0,01%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
291,150443067295,53305481874,53140721141,53091444173,53080778585,53080778514,53080778603,53080778619,53080778623,53080778657,"182,23%","0,31%","0,09%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
292,136176769812,56854383094,51200637316,51098223788,51074983619,51074985442,51074983622,51074983614,51074983615,51074983622,"139,52%","11,04%","0,20%","0,05%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
293,122540932238,98884949711,98615406788,98539475033,98531891840,98526947311,98526608014,98526608014,98526608014,98526609862,"23,92%","0,27%","0,08%","0,01%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
294,112433772844,47347399810,44383613648,44344722003,44321845016,44317965890,44317965780,44317965780,44317965831,44317965800,"137,47%","6,68%","0,09%","0,05%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
295,101284803978,49644020769,49501501147,49462932773,49447717962,49443162180,49440498115,49440498092,49440498171,49440498171,"104,02%","0,29%","0,08%","0,03%","0,01%","0,01%","0,00%","0,00%","0,00%",,,
296,"96323969505,0007",69327362950,69082364988,69043362192,69027366811,69027356479,69027356509,69027356548,69027356572,69027356479,"38,94%","0,35%","0,06%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
297,95194562674,48306012245,47162749045,47136068113,47129389350,47129389324,47129389330,47129389337,47129389357,47129389324,"97,07%","2,42%","0,06%","0,01%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
298,125081180418,109839370696,107903978736,107866994990,107852014907,107852014907,107852014907,107852015045,107852015045,107852014902,"13,88%","1,79%","0,03%","0,01%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
299,138867315163,73291451613,73044124073,72990235507,72951345637,72945798885,72945798885,72945798905,72945798905,72945798905,"89,47%","0,34%","0,07%","0,05%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
300,125593619692,52045208845,41163976968,41043094561,40969666637,40935079806,40931524174,40927968571,40926416081,40926416081,"141,32%","26,43%","0,29%","0,18%","0,08%","0,01%","0,01%","0,00%","0,00%",,,
301,148986647433,106127449983,105924865538,105867869053,105837210673,105824892150,105818214943,105814548433,105813886145,105813886145,"40,38%","0,19%","0,05%","0,03%","0,01%","0,01%","0,00%","0,00%","0,00%",,,
302,108411062985,42209482155,41993410642,41957235076,41941421747,41938924393,41938924393,41938924410,41938924410,41938924409,"156,84%","0,51%","0,09%","0,04%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
303,129286044429,49735266902,48314885011,48271117375,48249513704,48245235779,48240957893,48240905447,48240907337,48240905456,"159,95%","2,94%","0,09%","0,04%","0,01%","0,01%","0,00%","0,00%","0,00%",,,
304,106900316531,50908405967,50045888291,49984246664,49962599196,49957932392,49955937066,49955937066,49955937066,49955937066,"109,99%","1,72%","0,12%","0,04%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
305,93420258166,50132636061,49714557910,49689315640,49686313548,49686311739,49686311747,49686311779,49686311792,49686311792,"86,35%","0,84%","0,05%","0,01%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
306,101149944765,52312914322,52217875182,52177926015,52177905379,52177905330,52177905371,52177905271,52177905300,52177905300,"93,36%","0,18%","0,08%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
307,109035198417,48304722570,48178336177,48140812581,48134131656,48134131693,48134131670,48134131696,48134131688,48134131694,"125,72%","0,26%","0,08%","0,01%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
308,115428226073,53215885910,53008412529,52932703883,52924887045,52919942684,52919606304,52919606304,52919606327,52919606310,"116,91%","0,39%","0,14%","0,01%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
309,103601767195,51090567069,50970393816,50932333212,50924560237,50924560237,50924560239,50924560239,50924560206,50924560206,"102,78%","0,24%","0,07%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
310,114118210895,52862999859,52733489010,52677951025,52673519697,52673519706,52673519732,52673519740,52673519708,52673519730,"115,88%","0,25%","0,11%","0,01%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
311,89333674623,50765649825,50201700406,50164247598,50156067629,50153678870,50153025632,50153025632,50153025668,50153025668,"75,97%","1,12%","0,07%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
312,96305814988,51696759933,51129191193,51091018352,51083458178,51078569533,51077904907,51077903149,51077903098,51077903054,"86,29%","1,11%","0,07%","0,01%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
313,105200191734,59754112048,58218910855,58191130594,58181847754,58177236602,58174911323,58174911331,58174911312,58174911312,"76,06%","2,64%","0,05%","0,02%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
314,110985643755,48843239541,48637233117,48589965559,48575751498,48575751498,48575751492,48575751504,48575751463,48575751478,"127,23%","0,42%","0,10%","0,03%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
315,91284713060,48031102551,47854412027,47800504924,47777169032,47768057446,47767725851,47767724083,47767724052,47767724045,"90,05%","0,37%","0,11%","0,05%","0,02%","0,00%","0,00%","0,00%","0,00%",,,
316,95203845108,47613796478,45250183535,45196790181,45177735779,45174702857,45174702857,45174702857,45174702857,45174702905,"99,95%","5,22%","0,12%","0,04%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
317,103423263048,50563151717,50323703294,50278115883,50270315817,50270315817,50270315867,50270315867,50270315847,50270315847,"104,54%","0,48%","0,09%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
318,128170640817,50508180896,48522041101,48472547969,48452550801,48452550800,48452550777,48452550769,48452550769,48452550823,"153,76%","4,09%","0,10%","0,04%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
319,144536262195,97586471822,96657675844,96606912418,96596807699,96595700398,96595700414,96595700447,96595700420,96595700426,"48,11%","0,96%","0,05%","0,01%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
320,143498097559,69849320284,68605779409,68535250557,68510832804,68510832806,68510832795,68510832795,68510832795,68510832803,"105,44%","1,81%","0,10%","0,04%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
321,140875072536,45873442826,45624298241,45572412419,45544366451,45540310904,45536255398,45534641096,45534641096,45534641084,"207,10%","0,55%","0,11%","0,06%","0,01%","0,01%","0,00%","0,00%","0,00%",,,
322,119976374463,57091709334,44666189651,44631705928,44620208587,44614726197,44610893145,44607726035,44607725998,44607725998,"110,15%","27,82%","0,08%","0,03%","0,01%","0,01%","0,01%","0,00%","0,00%",,,
323,101880359477,57937616577,40039293426,39995081981,39975749733,39964644215,39964644220,39964644261,39964644283,39964644283,"75,84%","44,70%","0,11%","0,05%","0,03%","0,00%","0,00%","0,00%","0,00%",,,
324,95741890431,41986704565,41840335687,41813576119,41798191789,41794136469,41793473855,41793475695,41793473830,41793473865,"128,03%","0,35%","0,06%","0,04%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
325,161764848112,117954065860,117753994582,117718329923,117697000189,117697000189,117697000189,117698351282,117698351282,117697000210,"37,14%","0,17%","0,03%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
326,132379552706,47507033874,47341662940,47291691973,47275705282,47275705279,47275705309,47275705264,47275705276,47275705259,"178,65%","0,35%","0,11%","0,03%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
327,141502651972,49790641301,49570608016,49502602812,49471619438,49464631125,49461632827,49461632825,49461632837,49461632851,"184,20%","0,44%","0,14%","0,06%","0,01%","0,01%","0,00%","0,00%","0,00%",,,
328,95978393036,46715375242,46600883476,46575377291,46562879421,46558379438,46555373126,46555373124,46555373093,46555373139,"105,45%","0,25%","0,05%","0,03%","0,01%","0,01%","0,00%","0,00%","0,00%",,,
329,93131688415,41993158961,41775617767,41728363199,41699943845,41699943884,41699943885,41699943820,41699943835,41699943865,"121,78%","0,52%","0,11%","0,07%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
330,101805797584,36763624952,36536037169,36499499314,36480824914,36469716138,36469716138,36469716138,36469716183,36469716183,"176,92%","0,62%","0,10%","0,05%","0,03%","0,00%","0,00%","0,00%","0,00%",,,
331,78818830160,37140564989,36939405252,36904409666,36893305740,36889422655,36889422667,36889422637,36889422691,36889422670,"112,22%","0,54%","0,09%","0,03%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
332,80422470535,41125764996,40938615654,40890628334,40866961508,40861660503,40860326686,40860326724,40860326725,40860326725,"95,55%","0,46%","0,12%","0,06%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
333,78839602788,47891776277,47720835309,47666836418,47651516355,47649853865,47649853865,47649853865,47649853865,47649853865,"64,62%","0,36%","0,11%","0,03%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
334,66711744046,45946409661,45827785847,45795838916,45790273870,45790273879,45790272071,45790272071,45790273833,45790273955,"45,19%","0,26%","0,07%","0,01%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
335,66463449259,37029917312,36868889888,36836872404,36824888946,36824886515,36824886553,36824886517,36824886491,36824886491,"79,49%","0,44%","0,09%","0,03%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
336,68780002121,37846750553,37701333811,37651016813,37633487688,37630026540,37630026543,37630026541,37630026509,37630026526,"81,73%","0,39%","0,13%","0,05%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
337,110021438277,46777639848,46623502904,46579369074,46556060261,46556060261,46556060261,46556060200,46556060200,46556060217,"135,20%","0,33%","0,09%","0,05%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
338,100890453018,49938909613,49082840500,49038945546,49023470246,49018859316,49016524559,49016524568,49016524561,49016524581,"102,03%","1,74%","0,09%","0,03%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
339,97819117179,58374781161,57546355845,57436048473,57406128752,57401462193,57399472718,57399472718,57399472718,57399472715,"67,57%","1,44%","0,19%","0,05%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
340,137234256102,50602751809,49467030415,49446494348,49442066463,49442066463,49442066466,49442066466,49442066463,49442066463,"171,20%","2,30%","0,04%","0,01%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
341,153133031269,62404159515,62279298764,62246419192,62241969626,62241967685,62241967830,62241967730,62241967699,62241967752,"145,39%","0,20%","0,05%","0,01%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
342,149334815666,89889804367,89790493561,89762343111,89750694047,89749040931,89749042762,89749042762,89749042799,89749042799,"66,13%","0,11%","0,03%","0,01%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
343,95322083036,50234322518,50054337885,49987146521,49972447719,49967725393,49966062703,49966062695,49966062678,49966062678,"89,75%","0,36%","0,13%","0,03%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
344,74163354558,45846435080,45701481348,45662975791,45648483447,45643983364,45640981799,45640981807,45640981838,45640981838,"61,76%","0,32%","0,08%","0,03%","0,01%","0,01%","0,00%","0,00%","0,00%",,,
345,65091975078,47979267339,42720139223,42683625489,42666316226,42666316242,42666316242,42666316234,42666316234,42666316198,"35,67%","12,31%","0,09%","0,04%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
346,90143273027,56660764421,47668413178,42319979715,42291989868,42287985255,42283985170,42281977994,42281977994,42281977951,"59,09%","18,86%","12,64%","0,07%","0,01%","0,01%","0,00%","0,00%","0,00%",,,
347,104800684037,50650468735,47528461320,47477905925,47464576996,47460132459,47456796850,47456796850,47456798615,47456798615,"106,91%","6,57%","0,11%","0,03%","0,01%","0,01%","0,00%","0,00%","0,00%",,,
348,103138981983,47894308216,45314053522,45278040789,45270028447,45270028461,45270028460,45270028448,45270028448,45270028445,"115,35%","5,69%","0,08%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
349,88346554745,47203155190,47033951326,46985146649,46974500325,46974502181,46974500366,46974500366,46974500356,46974500356,"87,16%","0,36%","0,10%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
350,103711142658,72584705766,72442056513,72400053764,72384071441,72384071415,72384071375,72384071391,72384071431,72384071400,"42,88%","0,20%","0,06%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
351,106355978656,64841111540,57720228785,57687226992,57675241379,57675241379,57675241379,57675241379,57675241379,57675241379,"64,03%","12,34%","0,06%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
352,122688324096,90686762594,60175155351,49211164343,49178720572,49170164628,49161608684,49161506064,49161506064,49161506034,"35,29%","50,70%","22,28%","0,07%","0,02%","0,02%","0,00%","0,00%","0,00%",,,
353,83727101794,46701776209,45239551783,45190903121,45163511693,45159889632,45159887820,45159887820,45159887798,45159889566,"79,28%","3,23%","0,11%","0,06%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
354,79894467099,45550060995,45364938329,45294585537,45260870195,45256481086,45252809543,45252809571,45252809558,45252809543,"75,40%","0,41%","0,16%","0,07%","0,01%","0,01%","0,00%","0,00%","0,00%",,,
355,95743931029,49742898791,49134220588,49017512714,48987251207,48980257359,48978933351,48978933351,48978933352,48978933351,"92,48%","1,24%","0,24%","0,06%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
356,107068085811,54548997155,54352758872,54277554120,54272387369,54268224389,54268222516,54268222554,54268224354,54268222530,"96,28%","0,36%","0,14%","0,01%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
357,89331845132,50118751542,49984990785,49941514971,49941515019,49941514999,49941514972,49941514912,49941515014,49941515053,"78,24%","0,27%","0,09%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
358,107638189042,63139723998,63028569198,63011921175,63005088435,63000699232,62997030970,62997030968,62997030970,62997031006,"70,48%","0,18%","0,03%","0,01%","0,01%","0,01%","0,00%","0,00%","0,00%",,,
359,101109839701,74499311055,74375296282,74349984628,74339313529,74339313529,74339313491,74339313491,74339313491,74339313509,"35,72%","0,17%","0,03%","0,01%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
360,117855284316,47390928818,47242498379,47208848107,47190142604,47185864624,47181586644,47181540528,47181540533,47181540520,"148,69%","0,31%","0,07%","0,04%","0,01%","0,01%","0,00%","0,00%","0,00%",,,
361,119470636091,74926910478,74813543872,74791876887,74778551487,74778551487,74778551487,74778551487,74778551487,74778551487,"59,45%","0,15%","0,03%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
362,111433376616,46541003335,46311072531,46289396649,46276056319,46276056319,46276056319,46276056287,46276056287,46276056357,"139,43%","0,50%","0,05%","0,03%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
363,110658153186,48169330986,48038501380,48010713194,48001819160,48001819160,48001819189,48001819189,48001819189,48001819141,"129,73%","0,27%","0,06%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
364,123871261853,51830529550,51661664160,51604001197,51588319170,51582668752,51581664234,51581662262,51581664197,51581664251,"138,99%","0,33%","0,11%","0,03%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
365,119668995102,51312987342,51184412419,51149689020,51138316903,51133594284,51131937622,51131937645,51131937608,51131939410,"133,21%","0,25%","0,07%","0,02%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
366,126123068844,53647627082,53440957871,53360974611,53346820450,53341987133,53340977669,53340977669,53340977663,53340977663,"135,10%","0,39%","0,15%","0,03%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
367,111124612589,54108484383,54007509911,53960860997,53960859190,53960859201,53960859146,53960859145,53960859245,53960859222,"105,37%","0,19%","0,09%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
368,90999741770,53966181932,53855382375,53814398332,53814398345,53814398328,53814398328,53814398302,53814398302,53814398324,"68,62%","0,21%","0,08%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
369,89651292134,63427188396,63344407408,63319410257,63319412091,63319410257,63319410257,63319410257,63319410257,63319410257,"41,35%","0,13%","0,04%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
370,111522857362,87784471856,82718126995,82690336972,82681472062,82681472080,82681472060,82681472103,82681472103,82681472079,"27,04%","6,12%","0,03%","0,01%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
371,"123744901088,999",80568019622,67990598015,55583665769,52047758910,52043092246,52041096924,52041096924,52041096924,52041096924,"53,59%","18,50%","22,32%","6,79%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
372,120185197658,96058585853,92316206486,92264864999,92236522801,92232189562,92228206333,92228206326,92228206346,92228206330,"25,12%","4,05%","0,06%","0,03%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
373,98914186816,46355687397,46233827263,46210758680,46199036590,46195977820,46195977770,46195977770,46195977770,46195977821,"113,38%","0,26%","0,05%","0,03%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
374,97949296719,47361603024,45826291526,45783078902,45765206257,45760982086,45756759743,45756322158,45756322158,45756322158,"106,81%","3,35%","0,09%","0,04%","0,01%","0,01%","0,00%","0,00%","0,00%",,,
375,87735056386,53246382336,49392717192,45658999059,42920289781,42920289776,42920289781,42920289782,42920289776,42920289776,"64,77%","7,80%","8,18%","6,38%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
376,103033425320,63362773495,59017769556,54768555194,50549677215,48980770335,48934733280,48934733280,48934733280,48934733280,"62,61%","7,36%","7,76%","8,35%","3,20%","0,09%","0,00%","0,00%","0,00%",,,
377,109312107204,83789531535,80477535859,80434216289,80412341966,80408232575,80404121384,80402902510,80402902510,80402902531,"30,46%","4,12%","0,05%","0,03%","0,01%","0,01%","0,00%","0,00%","0,00%",,,
378,113860205911,46863737412,46392295805,46353460753,46344790524,46344790488,46344790488,46344790511,46344790511,46344790512,"142,96%","1,02%","0,08%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
379,140118941611,65942018220,65680327341,65649996706,65639316022,65639316022,65639316088,65639316070,65639316060,65639317855,"112,49%","0,40%","0,05%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
