instance,c_optimal_value,2c_optimal_value,3c_optimal_value,4c_optimal_value,5c_optimal_value,6c_optimal_value,7c_optimal_value,8c_optimal_value,9c_optimal_value,10c_optimal_value,2c vs c,3c vs 2c,4c vs 3c,5c vs 4c,6c vs 5c,7c vs 6c,8c vs 7c,9c vs 8c,10c vs 9c ,,Valori medi,
29,66659692368,49026367737,48898335223,48849739863,48839628799,48830187192,48830189030,48830189011,48830189050,48830187206,"35,97%","0,26%","0,10%","0,02%","0,02%","0,00%","0,00%","0,00%","0,00%",,,
30,63351533781,47696260134,47590502138,47569284655,47558615634,47557501332,47557501317,47557501317,47557501338,47557501320,"32,82%","0,22%","0,04%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
31,63298809787,48853043166,48703163890,48650384527,48631047401,48622163201,48622163214,48622163223,48622163219,48622163221,"29,57%","0,31%","0,11%","0,04%","0,02%","0,00%","0,00%","0,00%","0,00%",,,
32,80780033900,53549729767,53461408178,53421526059,53416301716,53412423038,53412421232,53412422994,53412423041,53412423066,"50,85%","0,17%","0,07%","0,01%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
33,98510370855,70396664407,70271696102,70226743170,70226737938,70226737940,70226737931,70226737969,70226737934,70226737969,"39,94%","0,18%","0,06%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
34,131743576057,61037717241,60928692812,60891716900,60886217072,60883719988,60883719989,60883719944,60883719944,60883719997,"115,84%","0,18%","0,06%","0,01%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
35,130372010076,61537196431,52737130458,51109300923,51059188259,51057830134,51057832029,51057830220,51057830174,51057830153,"111,86%","16,69%","3,18%","0,10%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
36,99144891764,51214915572,48718726413,48662399607,48647746345,48647746369,48647746326,48647746317,48647746332,48647746343,"93,59%","5,12%","0,12%","0,03%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
37,58324638315,42408029958,38524839468,38491417897,38472990640,38471885430,38471885434,38471885434,38471885457,38471885434,"37,53%","10,08%","0,09%","0,05%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
38,89331919373,44915049009,44764750827,44718566494,44706125510,44706125488,44706125488,44706125488,44706125512,44706125512,"98,89%","0,34%","0,10%","0,03%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
39,79142851769,48377248443,48180946597,48104406537,48094226315,48089337686,48088670967,48088670967,48088670914,48088670914,"63,60%","0,41%","0,16%","0,02%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
40,79191357288,48590699992,48458175111,48415676321,48410651285,48410638467,48410638467,48410640246,48410638428,48410638436,"62,98%","0,27%","0,09%","0,01%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
41,82934469135,47579200301,47440782751,47399394774,47391606537,47391606537,47391606537,47391606537,47391606537,47391606537,"74,31%","0,29%","0,09%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
42,76379959500,47441603098,47297990447,47246733076,47232782438,47230859131,47230859157,47230859157,47230859141,47230859141,"61,00%","0,30%","0,11%","0,03%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
43,87719633024,59984432793,49982800912,49928534219,49915145466,49913495484,49913499224,49913495471,49913495465,49913495640,"46,24%","20,01%","0,11%","0,03%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
44,79850438508,49292942548,45531724210,45497248159,45487268013,45487267930,45487268010,45487268015,45487267990,45487267983,"61,99%","8,26%","0,08%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
45,72272541937,46369502431,42346226184,42316057498,42304609118,42296732003,42292454068,42292398696,42292398701,42292398651,"55,86%","9,50%","0,07%","0,03%","0,02%","0,01%","0,00%","0,00%","0,00%",,,
46,62808045236,40650313506,40510331899,40466776846,40443362835,40443362882,40443362882,40443362835,40443362882,40443362862,"54,51%","0,35%","0,11%","0,06%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
47,80361628723,53266626137,53096435995,53057153430,53042595731,53042595744,53042595723,53042595740,53042595749,53042595729,"50,87%","0,32%","0,07%","0,03%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
48,78414553401,47424884504,45162518047,45124406945,45109743752,45109743751,45109743742,45109743742,45109743742,45109743742,"65,34%","5,01%","0,08%","0,03%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
49,126340771689,49922087966,47981340735,47939333973,47925343058,47925343071,47925343085,47925343065,47925343073,47925343073,"153,08%","4,04%","0,09%","0,03%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
50,119558053749,53660942149,49814361697,46159437031,43043200031,43039088892,43038746777,43038746803,43038746815,43038746798,"122,80%","7,72%","7,92%","7,24%","0,01%","0,00%","0,00%","0,00%","0,00%",,,
51,121916270673,50644501554,49572728929,49525741171,49509261810,49504761785,49501773700,49501773718,49501773731,49501773764,"140,73%","2,16%","0,09%","0,03%","0,01%","0,01%","0,00%","0,00%","0,00%",,,
52,98024924599,46205863451,44502794053,44470305307,44450311837,44450311881,44450311839,44450311904,44450313720,44450311891,"112,15%","3,83%","0,07%","0,04%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
53,68308735836,44608179443,44489268663,44466494117,44457603052,44457603052,44457603177,44457603177,44457603177,44457603113,"53,13%","0,27%","0,05%","0,02%","0,00%","0,00%","0,00%","0,00%","0,00%",,,
