Capacity,Optimal value,Heuristic value,Heuristic risk value,Heuristic 7 risk value,Heuristic 14 risk value,Heuristic 21 risk value,Result difference,Heuristic q-1 risk difference,Heuristic q-7 risk difference,Heuristic q-14 risk difference,Heuristic q-21 risk difference,Optimal rem. stocks,Heuristic rem. stocks,Heuristic q-1 risk rem.,Heuristic q-7 risk rem.,Heuristic q-14 risk rem.,Heuristic q-21 ris rem. stocks,Stocks difference,Stocks q-1 risk difference,Stocks q-7 risk difference,Stocks q-14 risk difference,Stocks q-21 risk difference
3.7 c,117.72,189.31,110.58,110.27,110.01,109.94,0.3782,-0.0645,-0.0676,-0.0701,-0.0707,0,0,-607989553.53,-513817362.45,-466778574.11,-457310081.6,0,1.0,1.0,1.0,1.0
3.8 c,117.71,189.22,110.57,110.25,110.0,109.92,0.3779,-0.0646,-0.0676,-0.0701,-0.0708,0,0,-608789540.84,-514257096.94,-467727976.35,-458065345.06,0,1.0,1.0,1.0,1.0
3.9 c,117.7,189.13,110.56,110.24,109.99,109.91,0.3777,-0.0646,-0.0676,-0.0701,-0.0709,0,0,-609492204.41,-514999489.88,-469012876.11,-458894178.74,0,1.0,1.0,1.0,1.0
4.0 c,117.69,189.05,110.55,110.23,109.99,109.89,0.3774,-0.0646,-0.0677,-0.0701,-0.071,0,0,-610147982.81,-515777738.33,-470333632.26,-459761958.21,0,1.0,1.0,1.0,1.0
4.1 c,117.68,188.97,110.54,110.22,109.98,109.87,0.3772,-0.0646,-0.0677,-0.0701,-0.0711,0,0,-610767929.73,-516551442.03,-471642797.24,-460314110.24,0,1.0,1.0,1.0,1.0
4.2 c,117.68,188.89,110.53,110.21,109.97,109.85,0.377,-0.0646,-0.0678,-0.0701,-0.0713,0,0,-611335708.54,-517294725.43,-472580281.21,-460908312.43,0,1.0,1.0,1.0,1.0
4.3 c,117.67,188.81,110.52,110.2,109.96,109.83,0.3768,-0.0647,-0.0678,-0.0702,-0.0714,0,0,-611889844.94,-518031125.67,-473510882.25,-461487367.26,0,1.0,1.0,1.0,1.0
4.4 c,117.67,188.75,110.51,110.18,109.95,109.81,0.3766,-0.0648,-0.0679,-0.0702,-0.0715,0,0,-612390839.27,-518601946.86,-474520775.05,-462238300.62,0,1.0,1.0,1.0,1.0
4.5 c,117.66,188.68,110.5,110.17,109.94,109.8,0.3764,-0.0648,-0.068,-0.0703,-0.0716,0,0,-612891833.79,-519113839.32,-475475658.73,-462962974.38,0,1.0,1.0,1.0,1.0
4.6 c,117.66,188.62,110.49,110.16,109.93,109.78,0.3762,-0.0649,-0.0681,-0.0703,-0.0718,0,0,-613275299.41,-519625730.66,-476184317.33,-463411258.1,0,1.0,1.0,1.0,1.0
4.7 c,117.66,188.55,110.47,110.15,109.92,109.75,0.376,-0.065,-0.0681,-0.0704,-0.072,0,0,-613558136.19,-520137622.69,-476699219.11,-463456129.53,0,1.0,1.0,1.0,1.0
4.8 c,117.66,188.49,110.46,110.14,109.91,109.74,0.3758,-0.0651,-0.0682,-0.0705,-0.0722,0,0,-613801039.04,-520649514.59,-477214120.92,-463598666.76,0,1.0,1.0,1.0,1.0
4.9 c,117.66,188.43,110.45,110.13,109.9,109.73,0.3756,-0.0652,-0.0683,-0.0706,-0.0723,0,0,-613843204.91,-521161406.63,-477729022.7,-464068261.59,0,1.0,1.0,1.0,1.0
5.0 c,117.66,188.37,110.45,110.12,109.89,109.72,0.3754,-0.0653,-0.0684,-0.0707,-0.0724,0,0,-613885371.32,-521673299.12,-478243925.21,-464537857.23,0,1.0,1.0,1.0,1.0
5.1 c,117.66,188.31,110.44,110.11,109.88,109.71,0.3752,-0.0654,-0.0685,-0.0708,-0.0725,0,0,-613927537.68,-522185190.36,-478760775.21,-465007451.68,0,1.0,1.0,1.0,1.0
5.2 c,117.66,188.24,110.43,110.11,109.87,109.7,0.375,-0.0654,-0.0686,-0.0709,-0.0726,0,0,-614089477.97,-522697082.33,-479275677.18,-465477046.63,0,1.0,1.0,1.0,1.0
5.3 c,117.66,188.18,110.43,110.1,109.86,109.69,0.3748,-0.0655,-0.0687,-0.071,-0.0727,0,0,-614298603.74,-523208974.3,-479790578.8,-465946641.51,0,1.0,1.0,1.0,1.0
5.4 c,117.65,188.12,110.42,110.09,109.85,109.68,0.3746,-0.0655,-0.0687,-0.071,-0.0727,0,0,-614507729.38,-523740202.49,-480305480.77,-466531759.49,0,1.0,1.0,1.0,1.0
5.5 c,117.65,188.07,110.42,110.08,109.84,109.68,0.3744,-0.0655,-0.0688,-0.0711,-0.0728,0,0,-614716855.28,-524331707.74,-480820383.0,-467201706.28,0,1.0,1.0,1.0,1.0
5.6 c,117.65,188.02,110.41,110.07,109.83,109.67,0.3742,-0.0656,-0.0689,-0.0712,-0.0728,0,0,-614925981.02,-524923212.04,-481335284.4,-467871652.03,0,1.0,1.0,1.0,1.0
5.7 c,117.65,187.97,110.41,110.07,109.82,109.67,0.3741,-0.0656,-0.0689,-0.0713,-0.0728,0,0,-615135106.5,-525514716.87,-481850186.18,-468541598.56,0,1.0,1.0,1.0,1.0
5.8 c,117.65,187.91,110.4,110.06,109.82,109.66,0.3739,-0.0657,-0.069,-0.0714,-0.0729,0,0,-615344232.42,-526106221.73,-482365087.99,-469211544.67,0,1.0,1.0,1.0,1.0
5.9 c,117.65,187.86,110.4,110.06,109.81,109.66,0.3737,-0.0657,-0.069,-0.0715,-0.0729,0,0,-615553357.9,-526697726.56,-482879989.77,-469881491.04,0,1.0,1.0,1.0,1.0
6.0 c,117.65,187.81,110.39,110.05,109.8,109.65,0.3735,-0.0657,-0.0691,-0.0715,-0.0729,0,0,-615762483.92,-527289232.02,-483394892.28,-470551438.2,0,1.0,1.0,1.0,1.0
6.1 c,117.65,187.76,110.39,110.04,109.79,109.65,0.3734,-0.0658,-0.0691,-0.0716,-0.073,0,0,-615971556.56,-527875893.55,-483904951.08,-471216541.28,0,1.0,1.0,1.0,1.0
6.2 c,117.65,187.72,110.39,110.04,109.78,109.65,0.3733,-0.0658,-0.0692,-0.0717,-0.073,0,0,-616168732.61,-528398825.97,-484354283.77,-471817841.46,0,1.0,1.0,1.0,1.0
6.3 c,117.65,187.69,110.39,110.03,109.78,109.65,0.3732,-0.0658,-0.0692,-0.0717,-0.073,0,0,-616354560.83,-528896973.19,-484879528.46,-472394418.12,0,1.0,1.0,1.0,1.0
6.4 c,117.65,187.65,110.38,110.03,109.77,109.65,0.373,-0.0658,-0.0693,-0.0718,-0.073,0,0,-616540377.13,-529395108.8,-485404773.5,-472970995.44,0,1.0,1.0,1.0,1.0
6.5 c,117.65,187.63,110.38,110.03,109.77,109.64,0.373,-0.0659,-0.0693,-0.0718,-0.0731,0,0,-616659707.61,-529814238.08,-485798571.14,-473346680.11,0,1.0,1.0,1.0,1.0
6.6 c,117.65,187.6,110.37,110.02,109.76,109.64,0.3729,-0.0659,-0.0693,-0.0719,-0.0731,0,0,-616833607.85,-530201329.71,-486156985.63,-473733381.23,0,1.0,1.0,1.0,1.0
6.7 c,117.65,187.58,110.37,110.02,109.76,109.63,0.3728,-0.066,-0.0693,-0.0719,-0.0731,0,0,-616959073.68,-530503290.77,-486424850.64,-474034951.9,0,1.0,1.0,1.0,1.0
6.8 c,117.65,187.57,110.37,110.02,109.75,109.63,0.3728,-0.066,-0.0693,-0.072,-0.0732,0,0,-617032988.66,-530701257.29,-486589976.87,-474246013.75,0,1.0,1.0,1.0,1.0
6.9 c,117.65,187.55,110.36,110.02,109.75,109.63,0.3727,-0.066,-0.0694,-0.072,-0.0732,0,0,-617101789.46,-530886868.12,-486755103.04,-474460771.48,0,1.0,1.0,1.0,1.0
7.0 c,117.65,187.54,110.36,110.02,109.74,109.63,0.3727,-0.066,-0.0694,-0.072,-0.0732,0,0,-617086223.01,-531058234.97,-486908249.36,-474661523.6,0,1.0,1.0,1.0,1.0
7.1 c,117.65,187.54,110.36,110.02,109.74,109.63,0.3727,-0.0661,-0.0694,-0.0721,-0.0732,0,0,-617035945.73,-531209058.76,-487040740.64,-474833432.51,0,1.0,1.0,1.0,1.0
7.2 c,117.65,187.53,110.36,110.01,109.74,109.62,0.3726,-0.0661,-0.0694,-0.0721,-0.0732,0,0,-617011384.38,-531340292.92,-487149019.07,-474985729.69,0,1.0,1.0,1.0,1.0
7.3 c,117.65,187.53,110.35,110.01,109.73,109.62,0.3726,-0.0661,-0.0694,-0.0721,-0.0732,0,0,-616964896.1,-531445438.79,-487203627.9,-475099027.38,0,1.0,1.0,1.0,1.0
7.4 c,117.65,187.53,110.35,110.01,109.73,109.62,0.3726,-0.0661,-0.0695,-0.0721,-0.0732,0,0,-616918407.7,-531548235.32,-487258236.89,-475164111.13,0,1.0,1.0,1.0,1.0
7.5 c,117.65,187.53,110.35,110.01,109.73,109.62,0.3726,-0.0661,-0.0695,-0.0722,-0.0733,0,0,-616871919.3,-531651031.85,-487312845.88,-475229194.89,0,1.0,1.0,1.0,1.0
7.6 c,117.65,187.53,110.35,110.01,109.73,109.62,0.3726,-0.0662,-0.0695,-0.0722,-0.0733,0,0,-616825431.02,-531744866.05,-487397496.77,-475294278.48,0,1.0,1.0,1.0,1.0
7.7 c,117.65,187.53,110.35,110.01,109.73,109.62,0.3726,-0.0662,-0.0695,-0.0722,-0.0733,0,0,-616788406.21,-531796700.79,-487551995.07,-475346113.21,0,1.0,1.0,1.0,1.0
7.8 c,117.65,187.53,110.35,110.01,109.73,109.62,0.3726,-0.0662,-0.0695,-0.0722,-0.0733,0,0,-616788406.21,-531796700.79,-487654658.64,-475346113.21,0,1.0,1.0,1.0,1.0
7.9 c,117.65,187.53,110.35,110.01,109.73,109.62,0.3726,-0.0662,-0.0695,-0.0722,-0.0733,0,0,-616788406.21,-531796700.79,-487757322.2,-475346113.21,0,1.0,1.0,1.0,1.0
