instance,c_optimal_value,2c_optimal_value,3c_optimal_value,4c_optimal_value,5c_optimal_value,6c_optimal_value,7c_optimal_value,8c_optimal_value,9c_optimal_value,10c_optimal_value
38,89331919373.0,44915049009.0,44764750827.0,44718566494.0,44706125510.0,44706125488.0,44706125488.0,44706125488.0,44706125512.0,44706125512.0
39,79142851769.0,48377248443.0,48180946597.0,48104406537.0,48094226315.0,48089337686.0,48088670967.0,48088670967.0,48088670914.0,48088670914.0
40,79191357288.0,48590699992.0,48458175111.0,48415676321.0,48410651285.0,48410638467.0,48410638467.0,48410640246.0,48410638428.0,48410638436.0
41,82934469135.0,47579200301.0,47440782751.0,47399394774.0,47391606537.0,47391606537.0,47391606537.0,47391606537.0,47391606537.0,47391606537.0
42,76379959500.0,47441603098.0,47297990447.0,47246733076.0,47232782438.0,47230859131.0,47230859157.0,47230859157.0,47230859141.0,47230859141.0
43,87719633024.0,59984432793.0,49982800912.0,49928534219.0,49915145466.0,49913495484.0,49913499224.0,49913495471.0,49913495465.0,49913495640.0
44,79850438508.0,49292942548.0,45531724210.0,45497248159.0,45487268013.0,45487267930.0,45487268010.0,45487268015.0,45487267990.0,45487267983.0
45,72272541937.0,46369502431.0,42346226184.0,42316057498.0,42304609118.0,42296732003.0,42292454068.0,42292398696.0,42292398701.0,42292398651.0
46,62808045236.0,40650313506.0,40510331899.0,40466776846.0,40443362835.0,40443362882.0,40443362882.0,40443362835.0,40443362882.0,40443362862.0
47,80361628722.99998,53266626137.0,53096435995.0,53057153430.0,53042595731.0,53042595744.0,53042595723.0,53042595740.0,53042595749.0,53042595729.0
48,78414553401.00002,47424884504.0,45162518047.0,45124406945.0,45109743752.0,45109743751.0,45109743742.0,45109743742.0,45109743742.0,45109743742.0
49,126340771689.0,49922087966.0,47981340735.0,47939333973.0,47925343058.0,47925343071.0,47925343085.0,47925343065.0,47925343073.0,47925343073.0
50,119558053749.0,53660942149.0,49814361697.0,46159437031.0,43043200031.0,43039088892.0,43038746777.0,43038746803.0,43038746815.0,43038746798.0
51,121916270673.0,50644501554.0,49572728929.0,49525741171.0,49509261810.0,49504761785.0,49501773700.0,49501773718.0,49501773731.0,49501773764.0
52,98024924599.0,46205863451.0,44502794053.0,44470305307.0,44450311837.0,44450311881.0,44450311839.0,44450311904.0,44450313720.0,44450311891.0
53,68308735836.0,44608179443.0,44489268663.0,44466494117.0,44457603052.0,44457603052.0,44457603177.0,44457603177.0,44457603177.0,44457603113.0
54,82800091977.0,42523950849.0,42349408313.0,42318093852.0,42307427468.0,42307427421.0,42307427412.0,42307427412.0,42307427412.0,42307427371.0
55,81801662989.0,43083512583.0,42968553608.0,42942659752.0,42930214136.0,42930214136.0,42930214136.0,42930214136.0,42930214136.0,42930214136.0
56,64251484690.0,43760681538.0,42327841646.0,42289292480.0,42266182436.0,42266184397.0,42266184397.0,42266184414.0,42266184358.0,42266184399.0
57,87595979297.0,42064643226.0,39948280279.0,39924935531.0,39913270492.0,39911606503.0,39911604654.0,39911604632.0,39911604686.0,39911604581.0
58,69082415536.0,45721505080.0,42477176672.0,42441340262.0,42419460427.0,42415349282.0,42415017723.0,42415017715.0,42415017722.0,42415017722.0
59,74005813918.0,42623337199.0,42466602390.0,42419943542.0,42396618254.0,42396618383.0,42396618383.0,42396620170.0,42396618294.0,42396618282.0
60,54070364043.0,42248832793.0,42002415280.0,41963426165.0,41951190281.0,41951190281.0,41951190300.0,41951192183.0,41951192183.0,41951190395.0
61,62722286243.0,44080395110.0,43200274019.0,43171279672.0,43160619737.0,43160619740.0,43160619735.0,43160619748.0,43160619743.0,43160619775.0
62,91480972078.0,47273621498.0,46567609878.0,46530276296.0,46519627321.0,46519627321.0,46519627348.0,46519627348.0,46519627323.0,46519627323.0
63,114606173102.0,55598080166.0,46966684898.0,46755333112.0,46665109529.0,46665109529.0,46665109529.0,46665109529.0,46665109529.0,46665109529.0
64,105846693580.0,42477002002.0,41996340292.0,41951943592.0,41930874942.0,41929509539.0,41929509539.0,41929509539.0,41929509539.0,41929509539.0
65,94310507220.0,42189943344.0,41952728270.0,41896601645.0,41865491471.0,41857713700.0,41853824761.0,41851060030.0,41851060063.0,41851061876.0
66,69751226061.0,41469763749.0,41239627443.0,41189030186.0,41173637773.0,41169582339.0,41168922452.0,41168922452.0,41168922452.0,41168922452.0
67,65471639254.0,42237087932.0,42008224459.0,41931814710.0,41898079970.0,41895038625.0,41895038625.0,41895038625.0,41895038625.0,41895038625.0
68,81696101496.0,53739290821.0,53552450869.0,53520248544.0,53509151578.0,53509151578.0,53509151578.0,53509151578.0,53509151578.0,53509151578.0
69,67785486818.0,45465640409.0,41838756481.0,41807239753.0,41797247583.0,41797247583.0,41797247583.0,41797247583.0,41797247583.0,41797247583.0
70,105255370413.0,62692384234.0,55415435358.0,51161714785.0,50160962411.0,50160962411.0,50160962353.0,50160962353.0,50160962387.0,50160962387.0
71,81515745889.0,50848044569.0,50768830892.0,50729940392.0,50724884903.0,50720173134.0,50720173134.0,50720173160.0,50720173160.0,50720173160.0
72,115582194319.0,55957961049.0,55808644447.0,55758988388.0,55753823323.0,55749655793.0,55749655767.0,55749655780.0,55749655793.0,55749655756.0
73,149879747860.0,89612240723.0,89430815543.0,89375650153.0,89368334958.0,89368334944.0,89368334947.0,89368334943.0,89368334978.0,89368334952.0
74,110916566302.0,46715103354.0,46516229123.0,46460353760.0,46434590302.0,46434590299.0,46434590313.0,46434590312.0,46434588504.0,46434590320.0
75,100866534776.0,47409351649.0,47261640280.0,47221270777.0,47204150255.0,47204150255.0,47204148423.0,47204148423.0,47204148423.0,47204150260.0
76,77114480796.0,48116156533.0,48029487013.0,47996162484.0,47989495841.0,47989492142.0,47989492118.0,47989492111.0,47989492111.0,47989492111.0
77,107957951885.0,52813263207.0,52726629650.0,52705682535.0,52704791243.0,52704791240.0,52704791234.0,52704791231.0,52704791228.0,52704791228.0
78,118918834392.0,92647829900.0,92477178389.0,92438593262.0,92421968987.0,92417580228.0,92413909324.0,92413909325.0,92413909323.0,92413909301.0
