instance,c_optimal_value,2c_optimal_value,3c_optimal_value,4c_optimal_value,5c_optimal_value,6c_optimal_value,7c_optimal_value,8c_optimal_value,9c_optimal_value,10c_optimal_value
188,90990163065.0,78924354838.0,76649864666.0,76608061275.0,76584560590.0,76577415797.0,76573580537.0,76570419406.0,76570419411.0,76570419495.0
189,74216158150.0,42767997039.0,40816676623.0,40784679275.0,40773696387.0,40773695957.0,40773695895.0,40773695915.0,40773695921.0,40773695915.0
190,116289124272.0,52520339031.0,48496707151.0,46657369733.0,46643037094.0,46635363368.0,46631359960.0,46631359955.0,46631359955.0,46631359939.0
191,99928126947.0,51223982602.0,51003602686.0,50942715936.0,50935536730.0,50930592292.0,50930256259.0,50930256207.0,50930256247.0,50930256247.0
192,87991724182.0,48471007674.0,48357097654.0,48314437259.0,48298451255.0,48292114603.0,48290116904.0,48290116911.0,48290116913.0,48290116913.0
193,79678051549.0,53633286005.0,53537066744.0,53491990332.0,53481546014.0,53473790555.0,53473790555.0,53473790555.0,53473790555.0,53473790555.0
194,116381160225.0,57998624132.0,53796982006.0,49696859909.0,48096443791.0,48094233438.0,48094233436.0,48094233436.0,48094233481.0,48094233481.0
195,84195661148.0,55736074960.0,51473100443.0,47316383243.0,45915043738.0,45915043678.0,45915045592.0,45915043710.0,45915043708.0,45915043717.0
196,59971436795.0,43640109260.0,42216758597.0,42188752543.0,42180095510.0,42180095492.0,42180095510.0,42180095514.0,42180095511.0,42180095479.0
197,72203325652.0,48988614169.0,48829618338.0,48777298329.0,48770652699.0,48770654589.0,48770652748.0,48770652748.0,48770654533.0,48770654533.0
198,74162445000.0,51001331325.0,50799302201.0,50766133091.0,50766133051.0,50766133064.0,50766133064.0,50766133088.0,50766133090.0,50766133076.0
199,85141522262.0,58225640030.0,56595133853.0,56548465016.0,56532932861.0,56526824417.0,56525161642.0,56525159855.0,56525161642.0,56525161600.0
200,94138500761.0,49679057178.0,48930811549.0,48890134129.0,48880816402.0,48880816398.0,48880816398.0,48880816398.0,48880816381.0,48880816392.0
201,131449424748.0,76212643678.0,75069378130.0,75020492756.0,74996042517.0,74984386023.0,74977711710.0,74977711719.0,74977711714.0,74977711705.0
202,117628918355.0,52192056988.0,52010730170.0,51938107411.0,51923775202.0,51923775224.0,51923775206.0,51923775250.0,51923775218.0,51923775251.0
203,102823104240.0,52407532325.0,52308141463.0,52262817190.0,52256133349.0,52251188929.0,52250865804.0,52250865824.0,52250865778.0,52250865778.0
204,115290067036.0,68776528312.0,68671539652.0,68640537797.0,68633460271.0,68632892050.0,68632892021.0,68632893963.0,68632892019.0,68632892069.0
205,112256721909.0,52324319694.0,52192832450.0,52152823392.0,52147810861.0,52142816099.0,52142814194.0,52142814214.0,52142814214.0,52142814214.0
206,86231132331.0,48592757007.0,47919529756.0,47890533556.0,47882521691.0,47882521655.0,47882521562.0,47882521562.0,47882523464.0,47882521562.0
207,78835041431.0,50415303839.0,50239660238.0,50188532502.0,50181580442.0,50181309140.0,50181309258.0,50181309168.0,50181309143.0,50181309124.0
208,120778681708.0,53943736119.0,53441972788.0,53404497207.0,53390509242.0,53384613327.0,53383282697.0,53383282697.0,53383282691.0,53383282667.0
209,138274022293.0,90618783215.0,90288432646.0,90243106018.0,90234669767.0,90229778825.0,90229122200.0,90229122134.0,90229123957.0,90229123975.0
210,111040503966.0,51043639274.0,50282706701.0,50258060322.0,50252736001.0,50252736001.0,50252734211.0,50252734211.0,50252734189.0,50252734189.0
211,96980643202.0,46991340136.0,46869725746.0,46853045601.0,46846386404.0,46846386404.0,46846386404.0,46846386404.0,46846388239.0,46846388235.0
212,73738905067.0,47810430418.0,47546311942.0,47469950717.0,47451937594.0,47447215272.0,47445552376.0,47445552376.0,47445552362.0,47445552401.0
213,98533361975.0,49301110437.0,48653764785.0,48616313636.0,48609659134.0,48609659187.0,48609659123.0,48609659121.0,48609659162.0,48609659136.0
214,91768096363.0,49729485302.0,49432368409.0,49400939731.0,49394295454.0,49389406650.0,49388746162.0,49388746214.0,49388746207.0,49388746264.0
215,60465438317.0,42703910086.0,41497457504.0,41458682677.0,41439123797.0,41439123847.0,41439123769.0,41439123794.0,41439123807.0,41439123774.0
216,53439864865.0,42187377034.0,42067709019.0,42020028792.0,42010706393.0,42010706386.0,42010706402.0,42010706383.0,42010706377.0,42010706402.0
217,72682915700.0,63553762476.0,63461241653.0,63433132636.0,63424250634.0,63424250634.0,63424250634.0,63424250634.0,63424250634.0,63424250634.0
218,126779150964.0,82299145561.0,82098857843.0,82045656277.0,82040881507.0,82040881507.0,82040881507.0,82040881508.0,82040883343.0,82040881506.0
219,150885846288.0,56965507675.0,55850272149.0,55780510799.0,55777650623.0,55777650602.0,55777650605.0,55777650605.0,55777650605.0,55777650623.0
220,143647677044.0,61923606924.0,52383850321.0,50870493658.0,50805473489.0,50805473489.0,50805473489.0,50805473489.0,50805473550.0,50805473563.0
221,75358666113.0,55431787070.0,47604992199.0,44668055574.0,44648055693.0,44648055739.0,44648055685.0,44648055697.0,44648055697.0,44648055727.0
222,68245034740.0,47341902690.0,43690278976.0,43609163767.0,43584749516.0,43584749526.0,43584749477.0,43584749502.0,43584749477.0,43584749502.0
223,70736408974.0,48772195747.0,41884213228.0,41844737787.0,41829183497.0,41829183495.0,41829183468.0,41829183527.0,41829183527.0,41829183489.0
224,106358143460.0,79665853852.0,58119673100.0,50747638224.0,50737858501.0,50737858527.0,50737858550.0,50737858550.0,50737858501.0,50737858501.0
225,107611188783.0,79521144556.0,61568402138.0,54001084202.0,53995972967.0,53991533891.0,53991534005.0,53991533881.0,53991533881.0,53991533898.0
226,97047517623.0,57300707194.0,57131550696.0,57094249221.0,57091704318.0,57091704412.0,57091704412.0,57091702511.0,57091702573.0,57091702573.0
227,71714103419.0,50451072299.0,50345521985.0,50289844392.0,50285057653.0,50285057668.0,50285057668.0,50285057668.0,50285057668.0,50285057613.0
228,81147218974.0,57015340595.0,48793675889.0,46401971591.0,46383200550.0,46378644766.0,46375981684.0,46375981684.0,46375981719.0,46375981719.0
229,94956043531.0,59091812619.0,51089690338.0,48113591486.0,48086943998.0,48076936695.0,48073594634.0,48073594615.0,48073594634.0,48073594649.0
230,73990375922.0,47626304369.0,45882660775.0,45839277320.0,45824064745.0,45821847329.0,45821845471.0,45821845462.0,45821847267.0,45821847267.0
231,58528166988.0,46435681850.0,46311157584.0,46273716337.0,46259720528.0,46250167149.0,46247493274.0,46247493274.0,46247493163.0,46247493163.0
232,55455266103.0,42121336204.0,41920997486.0,41879739899.0,41863128228.0,41858739356.0,41855071864.0,41855071874.0,41855071864.0,41855071879.0
233,63887041925.0,46280157498.0,46091405048.0,46034236356.0,46003568728.0,45992424642.0,45986674468.0,45981928220.0,45981928220.0,45981928178.0
234,79758640804.0,45903717659.0,45725928299.0,45687862479.0,45673426364.0,45673426364.0,45673426364.0,45673426352.0,45673426352.0,45673426389.0
235,103974385912.0,61200464534.0,61050490072.0,61005551231.0,61005550832.0,61005550832.0,61005550832.0,61005550834.0,61005550834.0,61005550834.0
236,103913487506.0,59250526661.0,59042976219.0,58993278705.0,58983715696.0,58982611454.0,58982611418.0,58982611479.0,58982611418.0,58982611447.0
237,127168705781.0,52528732383.0,52268049331.0,52093076990.0,52078076913.0,52068080334.0,52068082143.0,52068082143.0,52068082143.0,52068082143.0
238,72255297844.0,41930550865.0,41771460813.0,41738126130.0,41720645639.0,41716478724.0,41712311809.0,41711478597.0,41711478597.0,41711478597.0
239,55948283997.0,43501124888.0,43367831110.0,43326727628.0,43307176882.0,43307176882.0,43307176882.0,43307176882.0,43307176882.0,43307176882.0
240,58179962269.0,46512086086.0,46376233100.0,46327229313.0,46315139598.0,46310250676.0,46309584323.0,46309584323.0,46309584264.0,46309584264.0
241,60475247300.99997,45257699659.0,45161466254.0,45115231814.0,45109411102.0,45109129427.0,45109127578.0,45109127607.0,45109127585.0,45109127599.0
242,41918046908.0,37811085086.0,37619105925.0,37567111565.0,37542984231.0,37538762121.0,37534540130.0,37534094614.0,37534094632.0,37534092807.0
243,40592230826.0,36610752623.0,36457804728.0,36417806663.0,36389830346.0,36389824157.0,36389824219.0,36389824195.0,36389825950.0,36389824221.0
244,53156765553.0,49019272635.0,48869651910.0,48845329429.0,48834677769.0,48834677772.0,48834677772.0,48834677755.0,48834677784.0,48834677817.0
245,89161420594.0,48646301465.0,48517650270.0,48481633037.0,48463654984.0,48458676146.0,48458676214.0,48458676194.0,48458676224.0,48458676224.0
246,138565944632.0,55055761823.0,54758235539.0,54726903091.0,54719782274.0,54714893394.0,54714229566.0,54714229552.0,54714229549.0,54714229549.0
247,148441655818.0,65772191873.0,57502530660.0,57432598302.0,57432598302.0,57432598334.0,57432598334.0,57432598334.0,57432598334.0,57432598297.0
248,126137412699.0,54573002543.0,54413564801.0,54370080583.0,54370080583.0,54370080583.0,54370080583.0,54370080583.0,54370080583.0,54370080583.0
249,95557525595.0,50964437730.0,50852599019.0,50809751615.0,50800905602.0,50800063006.0,50800062960.0,50800062960.0,50800062976.0,50800062976.0
250,77798886215.0,48012786815.0,47876081666.0,47841088729.0,47827968493.0,47825734474.0,47825734515.0,47825734477.0,47825734478.0,47825734481.0
251,105683735001.0,48476529012.0,48254049925.0,48211554470.0,48197066723.0,48192564996.0,48189569198.0,48189569198.0,48189569188.0,48189569188.0
252,98812647823.0,51521205070.0,50361041443.0,50309101725.0,50300220919.0,50300220919.0,50300220919.0,50300220919.0,50300220919.0,50300220919.0
253,114067586935.99998,108149773227.0,108090558250.0,108066550920.0,108066550920.0,108066550920.0,108066550920.0,108066550920.0,108066550920.0,108066550920.0
254,86890209258.0,58083828941.0,53677328347.0,49343159228.0,48745054502.0,48745054502.0,48745054429.0,48745054429.0,48745054459.0,48745052611.0
255,79896973433.0,46531625404.0,45394714311.0,45343895559.0,45323913092.0,45323913051.0,45323913045.0,45323913058.0,45323913145.0,45323911168.0
256,85978920730.0,80107739664.0,78333222895.0,78302449466.0,78288224929.0,78288224929.0,78288224972.0,78288224950.0,78288224921.0,78288224934.0
257,89549201866.0,48526452727.0,44826018289.0,44757698486.0,44731024419.0,44731024412.0,44731024377.0,44731024380.0,44731026275.0,44731024477.0
258,108500498410.0,51406549305.0,49618948811.0,49548111949.0,49530927711.0,49521483612.0,49518167771.0,49518167766.0,49518167792.0,49518167817.0
259,99922999744.0,49771491191.0,49222160410.0,49166593720.0,49153270513.0,49143493326.0,49142158944.0,49142158918.0,49142158923.0,49142158931.0
260,90943702934.0,47589783181.0,46221580608.0,46180243722.0,46173558826.0,46173558826.0,46173558814.0,46173558825.0,46173558833.0,46173558842.0
261,77925987867.0,44416823289.0,41053024327.0,41008891312.0,40992058944.0,40985892384.0,40985415341.0,40985415341.0,40985415341.0,40985413467.0
262,84816421835.0,46604990538.0,42937204609.0,42895204442.0,42865218334.0,42861205060.0,42857205096.0,42855204203.0,42855204203.0,42855204264.0
263,62977628861.0,44187291264.0,42684149741.0,42647491576.0,42628831740.0,42628831740.0,42628831677.0,42628831780.0,42628831734.0,42628831736.0
264,77325066276.0,43336672450.0,41762591640.0,41710247326.0,41691513909.0,41687236292.0,41682958719.0,41682897114.0,41682897074.0,41682897051.0
265,50992271208.0,35597486634.0,35461421987.0,35439192407.0,35431636783.0,35429409548.0,35429409548.0,35429409602.0,35429409602.0,35429409602.0
266,82626038293.0,60500155635.0,60314183097.0,60284219575.0,60260260850.0,60260254999.0,60260254999.0,60260254999.0,60260254999.0,60260254999.0
267,145112309824.0,93533116327.0,93432687406.0,93400425146.0,93385972235.0,93385972216.0,93385972279.0,93385972245.0,93385972270.0,93385972293.0
268,148967463357.0,51689170316.0,49963768450.0,49922547492.0,49910082663.0,49910082574.0,49910082553.0,49910082622.0,49910082566.0,49910082566.0
269,107153714180.0,51200451982.0,43948265380.0,42671445977.0,42651723243.0,42650336791.0,42650336814.0,42650336801.0,42650336801.0,42650336801.0
270,103491504749.0,46482012712.0,45695282533.0,45628531864.0,45599537822.0,45595426529.0,45591315342.0,45590086978.0,45590086978.0,45590087029.0
271,91994554781.0,38742664103.0,38537912068.0,38490978097.0,38471089543.0,38462426779.0,38458760045.0,38455093400.0,38454439170.0,38454439170.0
272,121349471328.0,62370367912.0,62226507816.0,62208674634.0,62197348610.0,62197348656.0,62197348659.0,62197348650.0,62197348625.0,62197348698.0
273,87093386829.0,51601713267.0,51353359134.0,51255233667.0,51203962579.0,51184963646.0,51178972024.0,51178970115.0,51178972023.0,51178970178.0
274,121675545599.0,46227512122.0,43936882721.0,43885043884.0,43858211861.0,43852389046.0,43852390869.0,43852389009.0,43852390844.0,43852389024.0
275,120233841335.0,47098247978.0,45158102553.0,45127113068.0,45115116031.0,45115111727.0,45115111743.0,45115111753.0,45115111753.0,45115111753.0
276,129103602063.0,96159182032.0,95129918213.0,95095421185.0,95081431176.0,95081431129.0,95081431203.0,95081429336.0,95081429304.0,95081431168.0
277,113073032518.0,46389991734.0,46235043102.0,46205042090.0,46184209206.0,46180042435.0,46175875698.0,46175059629.0,46175059635.0,46175059646.0
278,127095227986.0,63838584468.0,62709818759.0,62664835930.0,62629833238.0,62624855910.0,62624855910.0,62624855837.0,62624855837.0,62624855837.0
279,106315950646.0,44576877534.0,44290000669.0,44242005246.0,44220006423.0,44211993527.0,44203993388.0,44199997097.0,44199997097.0,44199995160.0
280,106945033225.0,44320388680.0,44151395167.0,44102541304.0,44076101529.0,44076101529.0,44076101529.0,44076101529.0,44076099669.0,44076099696.0
281,92420441702.0,44129100581.0,43906626435.0,43850836200.0,43823329903.0,43819163299.0,43814996796.0,43814168576.0,43814168632.0,43814168637.0
282,109450264049.0,47062725528.0,46899494795.0,46838737677.0,46816432698.0,46811877245.0,46809212996.0,46809212949.0,46809212966.0,46809212956.0
283,80008924755.0,47508425051.0,47364215491.0,47308929028.0,47293078793.0,47288356468.0,47286688118.0,47286688072.0,47286688074.0,47286688114.0
284,144990507342.0,128613627352.0,128506429475.0,128449774484.0,128449774484.0,128449774484.0,128449774484.0,128449774484.0,128449774484.0,128449774484.0
285,117438004834.99947,50176235039.0,50059419265.0,50027319207.0,50019871084.0,50018767660.99999,50018769513.0,50018769513.0,50018769500.0,50018769500.0
286,138006368371.0,51393996857.0,51278127396.0,51240099823.0,51232321004.0,51232321004.0,51232322878.0,51232321004.0,51232322868.0,51232321069.0
287,90480372165.0,43649979789.0,43429707951.0,43372133894.0,43353134107.0,43344689433.0,43336244784.0,43335360692.0,43335360755.0,43335360701.0
288,86960279514.0,42550735820.0,42280820068.0,42229159026.0,42195854058.0,42195854055.0,42195854055.0,42195854124.0,42195854035.0,42195854049.0
289,103177213562.99997,62767349512.0,62638175565.0,62597337776.0,62570673223.0,62570673175.0,62570673223.0,62570673184.0,62570673205.0,62570673174.0
290,160619197382.0,130308807548.0,130215500960.0,130198833409.0,130185501385.0,130185501385.0,130185501325.0,130185501345.0,130185501339.0,130185501302.0
291,150443067295.0,53305481874.0,53140721141.0,53091444173.0,53080778585.0,53080778513.99999,53080778603.0,53080778619.0,53080778623.0,53080778657.0
292,136176769812.0,56854383094.0,51200637316.0,51098223788.0,51074983619.0,51074985442.0,51074983622.0,51074983614.0,51074983615.0,51074983622.0
293,122540932237.99998,98884949711.0,98615406788.0,98539475033.0,98531891840.0,98526947311.0,98526608014.0,98526608014.0,98526608014.0,98526609862.0
294,112433772844.0,47347399810.0,44383613648.0,44344722003.0,44321845016.0,44317965890.0,44317965780.0,44317965780.0,44317965831.0,44317965800.0
295,101284803978.0,49644020769.0,49501501147.0,49462932773.0,49447717962.0,49443162180.0,49440498115.0,49440498092.0,49440498171.0,49440498171.0
296,96323969505.00073,69327362950.0,69082364988.0,69043362192.0,69027366811.0,69027356479.0,69027356509.0,69027356548.0,69027356572.0,69027356479.0
297,95194562674.0,48306012245.0,47162749045.0,47136068113.0,47129389350.0,47129389324.0,47129389330.0,47129389337.0,47129389357.0,47129389324.0
298,125081180418.0,109839370696.0,107903978736.0,107866994990.0,107852014907.0,107852014907.0,107852014907.0,107852015045.0,107852015045.0,107852014902.0
299,138867315163.0,73291451613.0,73044124073.0,72990235507.0,72951345637.0,72945798885.0,72945798885.0,72945798905.0,72945798905.0,72945798905.0
300,125593619692.0,52045208845.0,41163976968.0,41043094561.0,40969666637.0,40935079806.0,40931524174.0,40927968571.0,40926416081.0,40926416081.0
301,148986647433.0,106127449983.0,105924865538.0,105867869053.0,105837210673.0,105824892150.0,105818214943.0,105814548433.0,105813886145.0,105813886145.0
302,108411062985.0,42209482155.0,41993410642.0,41957235076.0,41941421747.0,41938924393.0,41938924393.0,41938924410.0,41938924410.0,41938924409.0
303,129286044429.0,49735266902.0,48314885011.0,48271117375.0,48249513704.0,48245235779.0,48240957893.0,48240905447.0,48240907337.0,48240905456.0
304,106900316531.0,50908405967.0,50045888291.0,49984246664.0,49962599196.0,49957932392.0,49955937066.0,49955937066.0,49955937066.0,49955937066.0
305,93420258166.0,50132636061.0,49714557910.0,49689315640.0,49686313548.0,49686311739.0,49686311747.0,49686311779.0,49686311792.0,49686311792.0
306,101149944765.0,52312914322.0,52217875182.0,52177926015.0,52177905379.0,52177905330.0,52177905371.0,52177905271.0,52177905300.0,52177905300.0
307,109035198417.0,48304722570.0,48178336177.0,48140812581.0,48134131656.0,48134131693.0,48134131670.0,48134131696.0,48134131688.0,48134131694.0
308,115428226073.0,53215885910.0,53008412529.0,52932703883.0,52924887045.0,52919942684.0,52919606304.0,52919606304.0,52919606327.0,52919606310.0
309,103601767195.0,51090567069.0,50970393816.0,50932333212.0,50924560237.0,50924560237.0,50924560239.0,50924560239.0,50924560206.0,50924560206.0
310,114118210895.0,52862999859.0,52733489010.0,52677951025.0,52673519697.0,52673519706.0,52673519732.0,52673519740.0,52673519708.0,52673519730.0
311,89333674623.0,50765649825.0,50201700406.0,50164247598.0,50156067629.0,50153678870.0,50153025632.0,50153025632.0,50153025668.0,50153025668.0
312,96305814988.0,51696759933.0,51129191193.0,51091018352.0,51083458178.0,51078569533.0,51077904907.0,51077903149.0,51077903098.0,51077903054.0
313,105200191733.99997,59754112048.0,58218910855.0,58191130594.0,58181847754.0,58177236602.0,58174911323.0,58174911331.0,58174911312.0,58174911312.0
314,110985643755.0,48843239541.0,48637233117.0,48589965559.0,48575751498.0,48575751498.0,48575751492.0,48575751504.0,48575751463.0,48575751478.0
315,91284713060.0,48031102551.0,47854412027.0,47800504924.0,47777169032.0,47768057446.0,47767725851.0,47767724083.0,47767724052.0,47767724045.0
316,95203845108.0,47613796478.0,45250183535.0,45196790181.0,45177735779.0,45174702857.0,45174702857.0,45174702857.0,45174702857.0,45174702905.0
317,103423263048.0,50563151717.0,50323703294.0,50278115883.0,50270315817.0,50270315817.0,50270315867.0,50270315867.0,50270315847.0,50270315847.0
318,128170640817.0,50508180896.0,48522041101.0,48472547969.0,48452550801.0,48452550800.0,48452550777.0,48452550769.0,48452550769.0,48452550823.0
319,144536262195.0,97586471822.0,96657675844.0,96606912418.0,96596807699.0,96595700398.0,96595700414.0,96595700447.0,96595700420.0,96595700426.0
320,143498097559.0,69849320284.0,68605779409.0,68535250557.0,68510832804.0,68510832806.0,68510832795.0,68510832795.0,68510832795.0,68510832803.0
321,140875072536.0,45873442826.0,45624298241.0,45572412419.0,45544366451.0,45540310904.0,45536255398.0,45534641096.0,45534641096.0,45534641084.0
322,119976374463.0,57091709334.0,44666189651.0,44631705928.0,44620208587.0,44614726197.0,44610893145.0,44607726035.0,44607725998.0,44607725998.0
323,101880359477.0,57937616577.0,40039293426.0,39995081981.0,39975749733.0,39964644215.0,39964644220.0,39964644261.0,39964644283.0,39964644283.0
324,95741890431.0,41986704565.0,41840335687.0,41813576119.0,41798191789.0,41794136469.0,41793473855.0,41793475695.0,41793473830.0,41793473865.0
325,161764848112.0,117954065860.0,117753994582.0,117718329923.0,117697000189.0,117697000189.0,117697000189.0,117698351282.0,117698351282.0,117697000210.0
326,132379552706.0,47507033874.0,47341662940.0,47291691973.0,47275705282.0,47275705279.0,47275705309.0,47275705264.0,47275705276.0,47275705259.0
327,141502651972.00003,49790641301.0,49570608016.0,49502602812.0,49471619438.0,49464631125.0,49461632827.0,49461632825.0,49461632837.0,49461632851.0
328,95978393036.0,46715375242.0,46600883476.0,46575377291.0,46562879421.0,46558379438.0,46555373126.0,46555373124.0,46555373093.0,46555373139.0
329,93131688415.0,41993158961.0,41775617767.0,41728363199.0,41699943845.0,41699943884.0,41699943885.0,41699943820.0,41699943835.0,41699943865.0
330,101805797584.0,36763624952.0,36536037169.0,36499499314.0,36480824914.0,36469716138.0,36469716138.0,36469716138.0,36469716183.0,36469716183.0
331,78818830160.0,37140564989.0,36939405252.0,36904409666.0,36893305740.0,36889422655.0,36889422667.0,36889422637.0,36889422691.0,36889422670.0
332,80422470535.0,41125764996.0,40938615654.0,40890628334.0,40866961508.0,40861660503.0,40860326686.0,40860326724.0,40860326725.0,40860326725.0
333,78839602788.0,47891776277.0,47720835309.0,47666836418.0,47651516355.0,47649853865.0,47649853865.0,47649853865.0,47649853865.0,47649853865.0
334,66711744046.0,45946409661.0,45827785847.0,45795838916.0,45790273870.0,45790273879.0,45790272071.0,45790272071.0,45790273833.0,45790273955.0
335,66463449259.0,37029917312.0,36868889888.0,36836872404.0,36824888946.0,36824886515.0,36824886553.0,36824886517.0,36824886491.0,36824886491.0
336,68780002121.0,37846750553.0,37701333811.0,37651016813.0,37633487688.0,37630026540.0,37630026543.0,37630026541.0,37630026509.0,37630026526.0
337,110021438277.0,46777639848.0,46623502904.0,46579369074.0,46556060261.0,46556060261.0,46556060261.0,46556060200.0,46556060200.0,46556060217.0
338,100890453018.0,49938909613.0,49082840500.0,49038945546.0,49023470246.0,49018859316.0,49016524559.0,49016524568.0,49016524561.0,49016524581.0
339,97819117179.0,58374781161.0,57546355845.0,57436048473.0,57406128752.0,57401462193.0,57399472718.0,57399472718.0,57399472718.0,57399472715.0
340,137234256102.0,50602751809.0,49467030415.0,49446494348.0,49442066463.0,49442066463.0,49442066466.0,49442066466.0,49442066463.0,49442066463.0
341,153133031269.0,62404159515.0,62279298764.0,62246419192.0,62241969626.0,62241967685.0,62241967830.0,62241967730.0,62241967699.0,62241967752.0
342,149334815666.0,89889804367.0,89790493561.0,89762343111.0,89750694047.0,89749040931.0,89749042762.0,89749042762.0,89749042799.0,89749042799.0
343,95322083036.0,50234322518.0,50054337885.0,49987146521.0,49972447719.0,49967725393.0,49966062703.0,49966062695.0,49966062678.0,49966062678.0
344,74163354558.0,45846435080.0,45701481348.0,45662975791.0,45648483447.0,45643983364.0,45640981799.0,45640981807.0,45640981838.0,45640981838.0
345,65091975078.0,47979267339.0,42720139223.0,42683625489.0,42666316226.0,42666316242.0,42666316242.0,42666316234.0,42666316234.0,42666316198.0
346,90143273027.0,56660764421.0,47668413178.0,42319979715.0,42291989868.0,42287985255.0,42283985170.0,42281977994.0,42281977994.0,42281977951.0
347,104800684037.00017,50650468735.0,47528461320.0,47477905925.0,47464576996.0,47460132459.0,47456796850.0,47456796850.0,47456798615.0,47456798615.0
348,103138981983.0,47894308216.0,45314053522.0,45278040789.0,45270028447.0,45270028461.0,45270028460.0,45270028448.0,45270028448.0,45270028445.0
349,88346554745.0,47203155190.0,47033951326.0,46985146649.0,46974500325.0,46974502181.0,46974500366.0,46974500366.0,46974500356.0,46974500356.0
350,103711142658.0,72584705766.0,72442056513.0,72400053764.0,72384071441.0,72384071415.0,72384071375.0,72384071391.0,72384071431.0,72384071400.0
351,106355978656.0,64841111540.0,57720228785.0,57687226992.0,57675241379.0,57675241379.0,57675241379.0,57675241379.0,57675241379.0,57675241379.0
352,122688324096.0,90686762594.0,60175155351.0,49211164343.0,49178720572.0,49170164628.0,49161608684.0,49161506064.0,49161506064.0,49161506034.0
353,83727101794.0,46701776209.0,45239551783.0,45190903121.0,45163511693.0,45159889632.0,45159887820.0,45159887820.0,45159887798.0,45159889566.0
354,79894467099.0,45550060995.0,45364938329.0,45294585537.0,45260870195.0,45256481086.0,45252809543.0,45252809571.0,45252809558.0,45252809543.0
355,95743931029.0,49742898791.0,49134220588.0,49017512714.0,48987251207.0,48980257359.0,48978933351.0,48978933351.0,48978933352.0,48978933351.0
356,107068085811.0,54548997155.0,54352758872.0,54277554120.0,54272387369.0,54268224389.0,54268222516.0,54268222554.0,54268224354.0,54268222530.0
357,89331845132.0,50118751542.0,49984990785.0,49941514971.0,49941515019.0,49941514999.0,49941514972.0,49941514912.0,49941515014.0,49941515053.0
358,107638189042.0,63139723998.0,63028569198.0,63011921175.0,63005088435.0,63000699232.0,62997030970.0,62997030968.0,62997030970.0,62997031006.0
359,101109839701.0,74499311055.0,74375296282.0,74349984628.0,74339313529.0,74339313529.0,74339313491.0,74339313491.0,74339313491.0,74339313509.0
360,117855284316.0,47390928818.0,47242498379.0,47208848107.0,47190142604.0,47185864624.0,47181586644.0,47181540528.0,47181540533.0,47181540520.0
361,119470636091.0,74926910478.0,74813543872.0,74791876887.0,74778551487.0,74778551487.0,74778551487.0,74778551487.0,74778551487.0,74778551487.0
362,111433376616.0,46541003335.0,46311072531.0,46289396649.0,46276056319.0,46276056319.0,46276056319.0,46276056287.0,46276056287.0,46276056357.0
363,110658153186.0,48169330986.0,48038501380.0,48010713194.0,48001819160.0,48001819160.0,48001819189.0,48001819189.0,48001819189.0,48001819141.0
364,123871261853.0,51830529550.0,51661664160.0,51604001197.0,51588319170.0,51582668752.0,51581664234.0,51581662262.0,51581664197.0,51581664251.0
365,119668995102.0,51312987342.0,51184412419.0,51149689020.0,51138316903.0,51133594284.0,51131937622.0,51131937645.0,51131937608.0,51131939410.0
366,126123068844.0,53647627082.0,53440957871.0,53360974611.0,53346820450.0,53341987133.0,53340977669.0,53340977669.0,53340977663.0,53340977663.0
367,111124612588.99998,54108484383.0,54007509911.0,53960860997.0,53960859190.0,53960859201.0,53960859146.0,53960859145.0,53960859245.0,53960859222.0
368,90999741770.0,53966181932.0,53855382375.0,53814398332.0,53814398345.0,53814398328.0,53814398328.0,53814398302.0,53814398302.0,53814398324.0
369,89651292134.0,63427188396.0,63344407408.0,63319410257.0,63319412091.0,63319410257.0,63319410257.0,63319410257.0,63319410257.0,63319410257.0
370,111522857361.99997,87784471856.0,82718126995.0,82690336972.0,82681472062.0,82681472080.0,82681472060.0,82681472103.0,82681472103.0,82681472079.0
371,123744901088.99944,80568019622.0,67990598015.0,55583665769.0,52047758910.0,52043092246.0,52041096924.0,52041096924.0,52041096924.0,52041096924.0
372,120185197658.0,96058585853.0,92316206486.0,92264864999.0,92236522801.0,92232189562.0,92228206333.0,92228206326.0,92228206346.0,92228206330.0
373,98914186815.99997,46355687397.0,46233827263.0,46210758680.0,46199036590.0,46195977820.0,46195977770.0,46195977770.0,46195977770.0,46195977821.0
374,97949296719.0,47361603024.0,45826291526.0,45783078902.0,45765206257.0,45760982086.0,45756759743.0,45756322158.0,45756322158.0,45756322158.0
375,87735056386.0,53246382336.0,49392717192.0,45658999059.0,42920289781.0,42920289776.0,42920289781.0,42920289782.0,42920289776.0,42920289776.0
376,103033425320.0,63362773495.0,59017769556.0,54768555194.0,50549677215.0,48980770335.0,48934733280.0,48934733280.0,48934733280.0,48934733280.0
377,109312107204.0,83789531535.0,80477535859.0,80434216289.0,80412341966.0,80408232575.0,80404121384.0,80402902510.0,80402902510.0,80402902531.0
378,113860205911.0,46863737412.0,46392295805.0,46353460753.0,46344790524.0,46344790488.0,46344790488.0,46344790511.0,46344790511.0,46344790512.0
379,140118941611.0,65942018220.0,65680327341.0,65649996706.0,65639316022.0,65639316022.0,65639316088.0,65639316070.0,65639316060.0,65639317855.0
