,instance,arrival_pfizer,arrival_moderna,arrival_astrazeneca,first_doses_Pfizer,second_doses_Pfizer,stock_values_Pfizer,first_doses_Moderna,second_doses_Moderna,stock_values_Moderna,first_doses_Astrazeneca,second_doses_Astrazeneca,stock_values_Astrazeneca,capacity
0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39746477
1,2,0,10000231,9999218,0.0,0.0,0.0,10000231.0,0.0,0.0,-0.0,0.0,9999218.0,39746477
2,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999218.0,39746477
3,4,0,0,0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,9999218.0,39746477
4,5,0,0,0,0.0,0.0,0.0,-0.0,0.0,0.0,9999218.0,0.0,-0.0,39746477
5,6,0,0,10002769,0.0,0.0,0.0,-0.0,0.0,-0.0,5013052.0,0.0,4989717.0,39746477
6,7,0,0,0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,4989717.0,39746477
7,8,0,9992975,0,0.0,0.0,0.0,2532.0,0.0,9990443.0,-0.0,0.0,4989717.0,39746477
8,9,0,0,0,0.0,0.0,0.0,-0.0,0.0,9990443.0,4989717.0,0.0,-0.0,39746477
9,10,0,0,0,0.0,0.0,0.0,-0.0,0.0,9990443.0,-0.0,0.0,0.0,39746477
10,11,0,0,0,0.0,0.0,0.0,-0.0,0.0,9990443.0,-0.0,0.0,-0.0,39746477
11,12,0,0,10004760,0.0,0.0,0.0,-0.0,0.0,9990443.0,10004760.0,0.0,0.0,39746477
12,13,0,0,0,0.0,0.0,0.0,9990443.0,0.0,-0.0,-0.0,0.0,0.0,39746477
13,14,0,0,0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,39746477
14,15,0,10003921,0,0.0,0.0,0.0,5371.0,0.0,9998550.0,-0.0,0.0,0.0,39746477
15,16,10005121,0,0,-0.0,0.0,10005121.0,-0.0,0.0,9998550.0,-0.0,0.0,0.0,39746477
16,17,0,0,0,6447.0,0.0,9998674.0,-0.0,0.0,9998550.0,-0.0,0.0,0.0,39746477
17,18,0,0,0,-0.0,0.0,9998674.0,-0.0,0.0,9998550.0,-0.0,0.0,0.0,39746477
18,19,0,10001800,0,-0.0,0.0,9998674.0,-0.0,0.0,20000350.0,-0.0,0.0,0.0,39746477
19,20,10000497,0,0,10001988.0,0.0,9997183.0,-0.0,0.0,20000350.0,-0.0,0.0,0.0,39746477
20,21,0,10001934,0,-0.0,0.0,9997183.0,-0.0,0.0,30002284.0,-0.0,0.0,0.0,39746477
21,22,0,0,0,-0.0,0.0,9997183.0,-0.0,0.0,30002284.0,-0.0,0.0,0.0,39746477
22,23,0,0,0,-0.0,0.0,9997183.0,-0.0,0.0,30002284.0,-0.0,0.0,0.0,39746477
23,24,0,0,0,-0.0,0.0,9997183.0,-0.0,0.0,30002284.0,-0.0,0.0,0.0,39746477
24,25,9998251,0,0,-0.0,0.0,19995434.0,-0.0,0.0,30002284.0,-0.0,0.0,-0.0,39746477
25,26,0,0,0,-0.0,0.0,19995434.0,-0.0,0.0,30002284.0,-0.0,0.0,0.0,39746477
26,27,0,0,0,-0.0,0.0,19995434.0,-0.0,0.0,30002284.0,-0.0,0.0,-0.0,39746477
27,28,0,0,0,-0.0,0.0,19995434.0,-0.0,0.0,30002284.0,-0.0,0.0,-0.0,39746477
28,29,0,0,10002072,-0.0,0.0,19995434.0,9999729.0,0.0,20002555.0,4990303.0,0.0,5011769.0,39746477
29,30,0,0,0,10000864.0,0.0,9994570.0,9995163.0,10000231.0,7161.0,5011769.0,0.0,-0.0,39746477
30,31,0,0,0,-0.0,0.0,9994570.0,7161.0,0.0,0.0,-0.0,0.0,-0.0,39746477
31,32,0,0,10000852,9994570.0,0.0,-0.0,-0.0,-0.0,-0.0,4994465.0,0.0,5006387.0,39746477
32,33,0,0,0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,5006387.0,39746477
33,34,0,0,10002059,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,9999546.0,0.0,5008900.0,39746477
34,35,0,0,10002752,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,15011652.0,39746477
35,36,0,9998160,0,-0.0,0.0,-0.0,9995628.0,2532.0,0.0,-0.0,0.0,15011652.0,39746477
36,37,0,0,0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,15011652.0,39746477
37,38,10003955,9997753,0,9997508.0,6447.0,0.0,9997753.0,-0.0,0.0,-0.0,0.0,15011652.0,39746477
38,39,0,0,0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,9994609.0,0.0,5017043.0,39746477
39,40,0,10000878,10001257,-0.0,-0.0,-0.0,10000878.0,-0.0,-0.0,-0.0,0.0,15018300.0,39746477
40,41,10001988,10000518,0,-0.0,10001988.0,0.0,4704.0,9990443.0,5371.0,-0.0,0.0,15018300.0,39746477
41,42,0,0,0,-0.0,-0.0,-0.0,-0.0,-0.0,5371.0,10001085.0,0.0,5017215.0,39746477
42,43,0,0,9995865,-0.0,-0.0,-0.0,-0.0,5371.0,0.0,-0.0,0.0,15013080.0,39746477
43,44,9999655,0,0,9999655.0,-0.0,-0.0,-0.0,-0.0,0.0,9994809.0,0.0,5018271.0,39746477
44,45,10001631,0,0,10001631.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,5018271.0,39746477
45,46,0,0,0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,5018271.0,0.0,-0.0,39746477
46,47,0,0,9995060,-0.0,-0.0,0.0,-0.0,-0.0,0.0,4988422.0,0.0,5006638.0,39746477
47,48,0,0,0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,5006638.0,39746477
48,49,0,0,9998656,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,15005294.0,39746477
49,50,0,0,0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,10002769.0,0.0,5002525.0,39746477
50,51,10000864,0,0,-0.0,10000864.0,0.0,-0.0,-0.0,0.0,5002525.0,0.0,-0.0,39746477
51,52,0,0,0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,39746477
52,53,9999132,0,0,-0.0,9994570.0,4562.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,39746477
53,54,0,0,0,-0.0,-0.0,4562.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,39746477
54,55,0,0,0,-0.0,-0.0,4562.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,39746477
55,56,0,0,0,-0.0,-0.0,4562.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,39746477
56,57,0,9999729,0,-0.0,-0.0,4562.0,-0.0,9999729.0,-0.0,-0.0,0.0,-0.0,39746477
57,58,10000523,9995163,0,-0.0,-0.0,10005085.0,-0.0,9995163.0,-0.0,-0.0,0.0,-0.0,39746477
58,59,0,10002789,10003400,-0.0,9997508.0,7577.0,-0.0,7161.0,9995628.0,4998918.0,0.0,5004482.0,39746477
59,60,0,0,0,6026.0,-0.0,1551.0,-0.0,-0.0,9995628.0,-0.0,0.0,5004482.0,39746477
60,61,9999640,0,0,-0.0,-0.0,10001191.0,-0.0,-0.0,9995628.0,5004482.0,0.0,-0.0,39746477
61,62,0,0,0,-0.0,-0.0,10001191.0,-0.0,-0.0,9995628.0,-0.0,0.0,-0.0,39746477
62,63,10000095,0,0,-0.0,-0.0,20001286.0,-0.0,-0.0,9995628.0,-0.0,0.0,-0.0,39746477
63,64,0,0,0,-0.0,-0.0,20001286.0,-0.0,9995628.0,-0.0,-0.0,0.0,-0.0,39746477
64,65,0,0,10000174,-0.0,9999655.0,10001631.0,-0.0,-0.0,-0.0,4993868.0,0.0,5006306.0,39746477
65,66,0,10002108,0,-0.0,10001631.0,-0.0,-0.0,9997753.0,4355.0,-0.0,0.0,5006306.0,39746477
66,67,0,10004200,0,-0.0,-0.0,-0.0,-0.0,-0.0,10008555.0,5006306.0,0.0,-0.0,39746477
67,68,0,9996039,0,-0.0,-0.0,-0.0,-0.0,10000878.0,10003716.0,-0.0,0.0,-0.0,39746477
68,69,0,0,0,-0.0,-0.0,-0.0,-0.0,4704.0,9999012.0,-0.0,0.0,-0.0,39746477
69,70,0,0,0,-0.0,-0.0,-0.0,-0.0,-0.0,9999012.0,-0.0,0.0,-0.0,39746477
