,giorno,ndosi,second_doses,stock_values
1,1,0,0.0,0.0
2,2,10001791,0.0,0.0
3,3,0,0.0,0.0
4,4,0,0.0,0.0
5,5,0,0.0,0.0
6,6,0,0.0,0.0
7,7,0,0.0,0.0
8,8,0,0.0,0.0
9,9,0,0.0,0.0
10,10,0,0.0,0.0
11,11,0,0.0,0.0
12,12,0,0.0,0.0
13,13,0,0.0,0.0
14,14,0,0.0,0.0
15,15,10005735,0.0,0.0
16,16,0,0.0,0.0
17,17,0,0.0,0.0
18,18,0,0.0,0.0
19,19,10000121,0.0,0.0
20,20,10008579,0.0,0.0
21,21,10001987,0.0,5010782.5
22,22,0,0.0,5010782.5
23,23,9997537,10001791.0,4998529.5
24,24,0,0.0,4998529.5
25,25,0,0.0,4998529.5
26,26,0,0.0,4998529.5
27,27,0,0.0,4998529.5
28,28,0,0.0,4998529.5
29,29,10004692,0.0,15003221.5
30,30,0,0.0,15003221.5
31,31,0,0.0,15003221.5
32,32,10003004,0.0,25006225.5
33,33,0,0.0,25006225.5
34,34,0,0.0,25006225.5
35,35,0,0.0,25006225.5
36,36,0,10005735.0,15000490.5
37,37,0,0.0,15000490.5
38,38,0,0.0,15000490.5
39,39,0,0.0,15000490.5
40,40,0,10000121.0,5000369.5
41,41,9999414,10008579.0,4991204.5
42,42,0,4991204.5,0.0
43,43,0,0.0,0.0
44,44,9995676,7999.0,9987677.0
45,45,0,0.0,9987677.0
46,46,0,0.0,0.0
47,47,0,0.0,0.0
48,48,0,0.0,0.0
49,49,0,0.0,0.0
50,50,10006198,0.0,0.0
51,51,0,0.0,0.0
52,52,0,0.0,0.0
53,53,0,0.0,0.0
54,54,0,0.0,0.0
55,55,0,0.0,0.0
56,56,0,0.0,0.0
57,57,0,0.0,0.0
58,58,9999266,0.0,0.0
59,59,0,0.0,0.0
60,60,0,0.0,0.0
61,61,0,0.0,0.0
62,62,0,0.0,0.0
63,63,9998283,0.0,0.0
64,64,0,0.0,0.0
65,65,0,0.0,0.0
66,66,0,0.0,0.0
67,67,9996899,9987677.0,9222.0
68,68,0,0.0,9222.0
69,69,0,0.0,9222.0
