,giorno,ndosi,second_doses,stock_values
1,1,0,0.0,0.0
2,2,0,0.0,0.0
3,3,0,0.0,0.0
4,4,0,0.0,0.0
5,5,0,0.0,0.0
6,6,0,0.0,0.0
7,7,0,0.0,0.0
8,8,0,0.0,0.0
9,9,9999056,0.0,0.0
10,10,0,0.0,0.0
11,11,0,0.0,0.0
12,12,0,0.0,0.0
13,13,0,0.0,0.0
14,14,10000030,0.0,10000030.0
15,15,0,0.0,10000030.0
16,16,0,0.0,10000030.0
17,17,0,0.0,10000030.0
18,18,0,0.0,10000030.0
19,19,0,0.0,10000030.0
20,20,0,0.0,10000030.0
21,21,0,0.0,10000030.0
22,22,0,0.0,10000030.0
23,23,0,0.0,10000030.0
24,24,0,0.0,10000030.0
25,25,0,0.0,10000030.0
26,26,0,0.0,10000030.0
27,27,0,0.0,10000030.0
28,28,0,0.0,9999056.0
29,29,0,0.0,9999056.0
30,30,0,9999056.0,0.0
31,31,0,0.0,0.0
32,32,0,0.0,0.0
33,33,0,0.0,0.0
34,34,0,0.0,0.0
35,35,0,0.0,0.0
36,36,0,0.0,0.0
37,37,0,0.0,0.0
38,38,0,0.0,0.0
39,39,0,0.0,0.0
40,40,0,0.0,0.0
41,41,0,0.0,0.0
42,42,0,0.0,0.0
43,43,0,0.0,0.0
44,44,0,0.0,0.0
45,45,0,0.0,0.0
46,46,0,0.0,0.0
47,47,0,0.0,0.0
48,48,0,0.0,0.0
49,49,9996149,974.0,0.0
50,50,0,0.0,0.0
51,51,0,0.0,0.0
52,52,0,0.0,0.0
53,53,10006003,0.0,10001173.0
54,54,0,0.0,10001173.0
55,55,0,0.0,10001173.0
56,56,0,0.0,10001173.0
57,57,0,0.0,10001173.0
58,58,0,0.0,10001173.0
59,59,0,0.0,10001173.0
60,60,0,0.0,10001173.0
61,61,0,0.0,9994182.0
62,62,0,0.0,9994182.0
63,63,0,0.0,9994182.0
64,64,0,0.0,9994182.0
65,65,0,0.0,0.0
66,66,0,0.0,0.0
67,67,10000005,0.0,10000005.0
68,68,0,0.0,10000005.0
69,69,0,0.0,10000005.0
70,70,0,9995175.0,4830.0
71,71,0,0.0,4830.0
72,72,0,0.0,4830.0
73,73,0,0.0,4830.0
74,74,0,4830.0,0.0
75,75,0,0.0,0.0
76,76,0,0.0,0.0
77,77,0,0.0,0.0
78,78,0,0.0,0.0
79,79,0,0.0,0.0
80,80,0,0.0,0.0
81,81,0,0.0,0.0
82,82,9992339,6991.0,0.0
83,83,0,0.0,0.0
84,84,0,0.0,0.0
85,85,0,0.0,0.0
86,86,9994182,9994182.0,0.0
87,87,0,0.0,0.0
88,88,0,0.0,0.0
89,89,0,0.0,0.0
90,90,0,0.0,0.0
91,91,0,0.0,0.0
92,92,0,0.0,0.0
93,93,0,0.0,0.0
94,94,10003689,0.0,9991191.0
95,95,0,0.0,0.0
96,96,0,0.0,0.0
97,97,0,0.0,0.0
98,98,0,0.0,0.0
99,99,0,0.0,0.0
100,100,0,0.0,0.0
101,101,0,0.0,0.0
102,102,0,0.0,0.0
103,103,10000473,9985348.0,8996.0
104,104,0,0.0,8996.0
105,105,0,0.0,8996.0
106,106,0,0.0,8996.0
107,107,0,0.0,8996.0
108,108,0,0.0,0.0
109,109,0,0.0,0.0
110,110,0,0.0,0.0
111,111,0,0.0,0.0
112,112,0,0.0,0.0
113,113,9999955,0.0,0.0
114,114,0,0.0,0.0
115,115,9994794,12498.0,0.0
116,116,9997320,9991191.0,6129.0
117,117,0,0.0,6129.0
118,118,0,0.0,6129.0
119,119,0,0.0,6129.0
120,120,0,0.0,6129.0
121,121,0,0.0,6129.0
122,122,0,0.0,6129.0
123,123,0,0.0,6129.0
124,124,0,6129.0,0.0
125,125,0,0.0,0.0
126,126,0,0.0,0.0
127,127,0,0.0,0.0
128,128,0,0.0,0.0
129,129,10000409,8996.0,9991413.0
130,130,0,0.0,9991413.0
131,131,0,0.0,9991413.0
132,132,9998356,0.0,19989769.0
133,133,0,0.0,19989769.0
134,134,0,9999955.0,9989814.0
135,135,0,0.0,9989814.0
136,136,0,9982296.0,7518.0
137,137,0,0.0,6995.0
138,138,0,0.0,6995.0
139,139,0,0.0,6995.0
140,140,0,0.0,0.0
141,141,0,0.0,0.0
142,142,0,0.0,0.0
143,143,0,0.0,0.0
144,144,9996658,0.0,0.0
145,145,0,0.0,0.0
146,146,0,0.0,0.0
147,147,0,0.0,0.0
148,148,10000533,0.0,0.0
149,149,0,0.0,0.0
150,150,0,0.0,0.0
151,151,0,0.0,0.0
152,152,0,0.0,0.0
153,153,0,0.0,0.0
154,154,0,0.0,0.0
155,155,0,0.0,0.0
156,156,0,0.0,0.0
157,157,0,0.0,0.0
158,158,9998011,523.0,0.0
159,159,0,0.0,0.0
160,160,0,0.0,0.0
161,161,10003653,6995.0,9996658.0
162,162,0,0.0,9996658.0
163,163,0,0.0,9996658.0
164,164,0,0.0,9996658.0
165,165,0,9996658.0,0.0
166,166,0,0.0,0.0
167,167,0,0.0,0.0
168,168,0,0.0,0.0
169,169,10003928,10000533.0,3395.0
170,170,0,0.0,3395.0
171,171,0,0.0,3395.0
172,172,0,0.0,3395.0
173,173,0,0.0,3395.0
174,174,0,0.0,3395.0
175,175,0,0.0,3395.0
176,176,0,0.0,3395.0
177,177,0,0.0,3395.0
178,178,9994093,0.0,9997488.0
179,179,0,9997488.0,0.0
180,180,0,0.0,0.0
