,instance,arrival_pfizer,arrival_moderna,arrival_astrazeneca,first_doses_Pfizer,second_doses_Pfizer,stock_values_Pfizer,first_doses_Moderna,second_doses_Moderna,stock_values_Moderna,first_doses_Astrazeneca,second_doses_Astrazeneca,stock_values_Astrazeneca,capacity
0,1,10002771,0,0,10002771.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33872393
1,2,9997307,0,9998979,4991171.0,0.0,5006136.0,0.0,0.0,0.0,0.0,0.0,9998979.0,33872393
2,3,0,0,0,0.0,0.0,5006136.0,0.0,0.0,0.0,4954.0,0.0,9994025.0,33872393
3,4,0,0,0,0.0,0.0,5006136.0,0.0,0.0,0.0,0.0,0.0,9994025.0,33872393
4,5,9998766,0,0,0.0,0.0,15004902.0,0.0,0.0,0.0,0.0,0.0,9994025.0,33872393
5,6,0,0,0,10005584.0,0.0,4999318.0,0.0,0.0,0.0,0.0,0.0,9994025.0,33872393
6,7,0,0,0,0.0,0.0,4999318.0,0.0,0.0,0.0,0.0,0.0,9994025.0,33872393
7,8,0,0,10002927,0.0,0.0,4999318.0,0.0,0.0,0.0,0.0,0.0,19996952.0,33872393
8,9,0,0,0,4999318.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19996952.0,33872393
9,10,10000782,0,0,5001998.0,0.0,4998784.0,0.0,0.0,0.0,0.0,0.0,19996952.0,33872393
10,11,0,0,0,0.0,0.0,4998784.0,0.0,0.0,0.0,0.0,0.0,19996952.0,33872393
11,12,0,0,0,7905.0,0.0,4990879.0,0.0,0.0,0.0,0.0,0.0,19996952.0,33872393
12,13,0,0,0,0.0,0.0,4990879.0,0.0,0.0,0.0,0.0,0.0,19996952.0,33872393
13,14,0,0,0,0.0,0.0,4990879.0,0.0,0.0,0.0,0.0,0.0,19996952.0,33872393
14,15,0,0,0,0.0,0.0,4990879.0,0.0,0.0,0.0,0.0,0.0,19996952.0,33872393
15,16,0,0,0,0.0,0.0,4990879.0,0.0,0.0,0.0,0.0,0.0,19996952.0,33872393
